month,state,city,operator,revenue_crore,ARPU,data_revenue_perc,voice_revenue_perc
2023-01,Karnataka,Ballari,BSNL,0.59,94.76,56.76,27.85
2023-01,Karnataka,Ballari,MTNL,0.39,80.8,78.51,26.51
2023-01,Karnataka,Tumkur,Jio,6.52,181.65,66.46,25.91
2023-01,Karnataka,Tumkur,Airtel,5.06,223.24,79.03,33.11
2023-01,Karnataka,Tumkur,Vi,1.11,145.87,57.52,15.36
2023-01,Karnataka,Tumkur,BSNL,1.0,77.83,56.78,21.38
2023-01,Karnataka,Tumkur,MTNL,0.2,105.35,75.36,20.64
2023-01,Karnataka,Udupi,Jio,6.57,173.54,70.72,32.55
2023-01,Karnataka,Udupi,Airtel,7.77,217.05,62.05,18.55
2023-01,Karnataka,Udupi,Vi,3.5,162.52,79.76,23.25
2023-01,Karnataka,Udupi,BSNL,1.2,86.16,63.52,33.62
2023-01,Karnataka,Udupi,MTNL,0.42,105.75,73.77,30.09
2023-01,Tamil Nadu,Chennai,Jio,8.98,173.09,67.63,31.53
2023-01,Tamil Nadu,Chennai,Airtel,9.05,204.6,64.73,15.22
2023-01,Tamil Nadu,Chennai,Vi,1.53,167.16,62.98,34.0
2023-01,Tamil Nadu,Chennai,BSNL,1.35,103.52,70.8,23.97
2023-01,Tamil Nadu,Chennai,MTNL,0.35,88.8,71.81,30.05
2023-01,Tamil Nadu,Coimbatore,Jio,9.14,193.75,57.28,24.89
2023-01,Tamil Nadu,Coimbatore,Airtel,6.25,196.73,66.04,32.75
2023-01,Tamil Nadu,Coimbatore,Vi,1.46,150.53,58.57,30.23
2023-01,Tamil Nadu,Coimbatore,BSNL,0.59,93.55,57.1,29.02
2023-01,Tamil Nadu,Coimbatore,MTNL,0.57,82.18,72.66,16.63
2023-01,Tamil Nadu,Madurai,Jio,9.57,172.55,64.36,22.41
2023-01,Tamil Nadu,Madurai,Airtel,10.11,219.38,79.65,30.07
2023-01,Tamil Nadu,Madurai,Vi,1.36,151.29,74.43,26.17
2023-01,Tamil Nadu,Madurai,BSNL,1.57,87.73,57.78,24.85
2023-01,Tamil Nadu,Madurai,MTNL,0.39,80.34,56.41,17.38
2023-01,Tamil Nadu,Tiruchirappalli,Jio,7.16,173.53,73.65,26.67
2023-01,Tamil Nadu,Tiruchirappalli,Airtel,5.71,223.87,62.14,32.37
2023-01,Tamil Nadu,Tiruchirappalli,Vi,4.11,146.71,55.3,34.4
2023-01,Tamil Nadu,Tiruchirappalli,BSNL,1.35,76.29,68.19,34.86
2023-01,Tamil Nadu,Tiruchirappalli,MTNL,0.44,82.21,79.23,25.46
2023-01,Tamil Nadu,Salem,Jio,8.16,188.88,66.36,27.55
2023-01,Tamil Nadu,Salem,Airtel,9.45,212.53,56.14,20.62
2023-01,Tamil Nadu,Salem,Vi,4.45,168.51,66.39,27.4
2023-01,Tamil Nadu,Salem,BSNL,0.63,83.32,66.59,22.07
2023-01,Tamil Nadu,Salem,MTNL,0.24,97.51,79.36,34.72
2023-01,Tamil Nadu,Tirunelveli,Jio,6.97,190.94,62.74,31.28
2023-01,Tamil Nadu,Tirunelveli,Airtel,3.85,215.54,77.77,31.45
2023-01,Tamil Nadu,Tirunelveli,Vi,3.85,168.49,70.34,23.36
2023-01,Tamil Nadu,Tirunelveli,BSNL,1.78,102.98,56.13,15.53
2023-01,Tamil Nadu,Tirunelveli,MTNL,0.63,91.29,79.68,18.01
2023-01,Tamil Nadu,Tiruppur,Jio,5.63,187.82,79.25,31.84
2023-01,Tamil Nadu,Tiruppur,Airtel,6.36,220.15,65.37,20.47
2023-01,Tamil Nadu,Tiruppur,Vi,3.67,141.69,75.32,34.99
2023-01,Tamil Nadu,Tiruppur,BSNL,1.34,104.9,74.22,33.9
2023-01,Tamil Nadu,Tiruppur,MTNL,0.37,105.49,66.26,17.58
2023-01,Tamil Nadu,Vellore,Jio,7.84,198.62,60.72,28.43
2023-01,Tamil Nadu,Vellore,Airtel,5.32,213.54,57.84,28.43
2023-01,Tamil Nadu,Vellore,Vi,3.72,155.61,68.0,32.04
2023-01,Tamil Nadu,Vellore,BSNL,1.18,91.56,76.92,23.07
2023-01,Tamil Nadu,Vellore,MTNL,0.18,84.02,73.88,27.41
2023-01,Tamil Nadu,Erode,Jio,4.39,191.12,58.41,15.29
2023-01,Tamil Nadu,Erode,Airtel,6.83,205.52,64.81,23.75
2023-01,Tamil Nadu,Erode,Vi,2.46,167.12,67.85,30.67
2023-01,Tamil Nadu,Erode,BSNL,1.2,86.9,76.56,33.99
2023-01,Tamil Nadu,Erode,MTNL,0.64,84.41,67.3,20.16
2023-01,Tamil Nadu,Thoothukudi,Jio,10.14,183.77,67.32,21.58
2023-01,Tamil Nadu,Thoothukudi,Airtel,4.42,214.0,56.9,17.58
2023-01,Tamil Nadu,Thoothukudi,Vi,1.51,143.84,58.47,27.82
2023-01,Tamil Nadu,Thoothukudi,BSNL,0.79,80.46,77.42,24.48
2023-01,Tamil Nadu,Thoothukudi,MTNL,0.3,100.03,59.81,15.82
2023-01,Uttar Pradesh,Lucknow,Jio,7.03,175.07,59.43,16.77
2023-01,Uttar Pradesh,Lucknow,Airtel,8.87,198.62,60.16,22.29
2023-01,Uttar Pradesh,Lucknow,Vi,5.36,155.1,55.98,30.99
2023-01,Uttar Pradesh,Lucknow,BSNL,0.88,93.84,76.84,33.42
2023-01,Uttar Pradesh,Lucknow,MTNL,0.47,81.83,75.16,29.97
2023-01,Uttar Pradesh,Kanpur,Jio,6.25,175.54,64.26,24.69
2023-01,Uttar Pradesh,Kanpur,Airtel,8.44,213.55,66.56,29.95
2023-01,Uttar Pradesh,Kanpur,Vi,2.79,141.1,72.83,32.9
2023-01,Uttar Pradesh,Kanpur,BSNL,1.76,90.35,57.68,23.95
2023-01,Uttar Pradesh,Kanpur,MTNL,0.52,95.98,61.73,22.55
2023-01,Uttar Pradesh,Agra,Jio,7.34,170.6,60.29,21.55
2023-01,Uttar Pradesh,Agra,Airtel,13.67,198.59,69.84,28.58
2023-01,Uttar Pradesh,Agra,Vi,4.59,163.68,57.17,25.74
2023-01,Uttar Pradesh,Agra,BSNL,2.25,92.61,65.79,17.55
2023-01,Uttar Pradesh,Agra,MTNL,0.58,88.51,71.15,26.42
2023-01,Uttar Pradesh,Varanasi,Jio,15.65,180.68,70.14,19.74
2023-01,Uttar Pradesh,Varanasi,Airtel,5.42,198.05,61.15,18.21
2023-01,Uttar Pradesh,Varanasi,Vi,3.04,145.6,59.33,32.94
2023-01,Uttar Pradesh,Varanasi,BSNL,1.49,77.41,65.26,34.65
2023-01,Uttar Pradesh,Varanasi,MTNL,0.57,83.36,79.24,32.31
2023-01,Uttar Pradesh,Prayagraj,Jio,7.55,194.51,59.27,28.37
2023-01,Uttar Pradesh,Prayagraj,Airtel,11.16,222.88,69.29,20.6
2023-01,Uttar Pradesh,Prayagraj,Vi,2.86,163.08,63.09,23.51
2023-01,Uttar Pradesh,Prayagraj,BSNL,1.17,90.23,57.87,27.21
2023-01,Uttar Pradesh,Prayagraj,MTNL,0.76,88.66,58.86,24.62
2023-01,Uttar Pradesh,Meerut,Jio,4.7,185.98,63.42,17.69
2023-01,Uttar Pradesh,Meerut,Airtel,14.66,196.9,63.06,31.2
2023-01,Uttar Pradesh,Meerut,Vi,5.06,147.64,74.01,26.91
2023-01,Uttar Pradesh,Meerut,BSNL,1.49,89.15,63.72,33.59
2023-01,Uttar Pradesh,Meerut,MTNL,1.28,104.92,58.11,29.62
2023-01,Uttar Pradesh,Ghaziabad,Jio,6.69,198.15,56.66,29.82
2023-01,Uttar Pradesh,Ghaziabad,Airtel,14.03,212.23,58.49,30.91
2023-01,Uttar Pradesh,Ghaziabad,Vi,2.45,146.05,59.11,31.29
2023-01,Uttar Pradesh,Ghaziabad,BSNL,1.83,94.96,63.97,32.54
2023-01,Uttar Pradesh,Ghaziabad,MTNL,0.99,91.77,65.98,22.54
2023-01,Uttar Pradesh,Noida,Jio,7.66,183.88,73.69,25.05
2023-01,Uttar Pradesh,Noida,Airtel,14.01,201.97,64.6,25.87
2023-01,Uttar Pradesh,Noida,Vi,5.4,167.19,57.92,33.8
2023-01,Uttar Pradesh,Noida,BSNL,1.41,93.83,58.48,30.88
2023-01,Uttar Pradesh,Noida,MTNL,0.8,98.6,77.35,30.77
2023-01,Uttar Pradesh,Bareilly,Jio,7.39,174.55,61.21,29.88
2023-01,Uttar Pradesh,Bareilly,Airtel,9.96,196.01,74.06,32.54
2023-01,Uttar Pradesh,Bareilly,Vi,5.86,150.26,57.77,31.93
2023-01,Uttar Pradesh,Bareilly,BSNL,1.3,78.82,74.93,18.0
2023-01,Uttar Pradesh,Bareilly,MTNL,0.86,86.88,73.0,27.82
2023-01,Uttar Pradesh,Moradabad,Jio,10.97,190.82,61.29,21.91
2023-01,Uttar Pradesh,Moradabad,Airtel,14.0,200.45,69.58,23.02
2023-01,Uttar Pradesh,Moradabad,Vi,6.65,153.86,58.83,26.72
2023-01,Uttar Pradesh,Moradabad,BSNL,1.92,90.18,55.45,32.44
2023-01,Uttar Pradesh,Moradabad,MTNL,0.91,107.96,72.42,33.45
2023-01,Gujarat,Ahmedabad,Jio,3.17,191.22,69.41,27.13
2023-01,Gujarat,Ahmedabad,Airtel,6.5,207.72,78.36,33.51
2023-01,Gujarat,Ahmedabad,Vi,1.2,153.53,79.62,31.78
2023-01,Gujarat,Ahmedabad,BSNL,1.16,78.74,76.75,25.38
2023-01,Gujarat,Ahmedabad,MTNL,0.35,97.74,56.37,21.7
2023-01,Gujarat,Surat,Jio,2.24,194.09,63.34,22.96
2023-01,Gujarat,Surat,Airtel,7.74,211.12,63.66,21.94
2023-01,Gujarat,Surat,Vi,2.24,162.13,60.62,24.05
2023-01,Gujarat,Surat,BSNL,0.47,79.23,67.46,23.38
2023-01,Gujarat,Surat,MTNL,0.36,107.45,69.51,27.65
2023-01,Gujarat,Vadodara,Jio,5.8,170.39,59.45,34.22
2023-01,Gujarat,Vadodara,Airtel,4.36,199.46,57.13,34.94
2023-01,Gujarat,Vadodara,Vi,2.53,155.07,56.68,30.0
2023-01,Gujarat,Vadodara,BSNL,1.17,81.3,60.13,18.81
2023-01,Gujarat,Vadodara,MTNL,0.32,81.1,69.12,16.31
2023-01,Gujarat,Rajkot,Jio,5.19,193.27,68.11,23.82
2023-01,Gujarat,Rajkot,Airtel,5.41,207.02,58.88,18.64
2023-01,Gujarat,Rajkot,Vi,3.72,165.85,64.33,20.41
2023-01,Gujarat,Rajkot,BSNL,0.82,94.32,55.63,18.12
2023-01,Gujarat,Rajkot,MTNL,0.49,101.48,55.68,19.44
2023-01,Gujarat,Bhavnagar,Jio,6.07,176.93,55.49,17.08
2023-01,Gujarat,Bhavnagar,Airtel,3.28,219.0,71.32,19.76
2023-01,Gujarat,Bhavnagar,Vi,1.45,142.98,73.06,32.11
2023-01,Gujarat,Bhavnagar,BSNL,0.85,99.91,71.7,19.1
2023-01,Gujarat,Bhavnagar,MTNL,0.53,88.79,55.33,16.71
2023-01,Gujarat,Jamnagar,Jio,2.16,176.24,59.54,26.66
2023-01,Gujarat,Jamnagar,Airtel,7.45,207.64,75.44,21.84
2023-01,Gujarat,Jamnagar,Vi,1.85,147.78,69.76,20.36
2023-01,Gujarat,Jamnagar,BSNL,0.81,93.72,68.8,23.72
2023-01,Gujarat,Jamnagar,MTNL,0.56,88.83,74.09,17.8
2023-01,Gujarat,Junagadh,Jio,5.49,196.05,77.36,31.0
2023-01,Gujarat,Junagadh,Airtel,2.16,207.76,61.72,25.83
2023-01,Gujarat,Junagadh,Vi,1.65,159.0,58.48,31.7
2023-01,Gujarat,Junagadh,BSNL,1.05,104.53,59.29,20.45
2023-01,Gujarat,Junagadh,MTNL,0.49,80.55,57.94,26.53
2023-01,Gujarat,Gandhinagar,Jio,5.4,178.22,71.29,31.59
2023-01,Gujarat,Gandhinagar,Airtel,2.03,201.19,58.42,33.0
2023-01,Gujarat,Gandhinagar,Vi,2.72,166.22,70.01,28.3
2023-01,Gujarat,Gandhinagar,BSNL,1.17,80.26,65.47,22.66
2023-01,Gujarat,Gandhinagar,MTNL,0.18,95.57,59.16,29.76
2023-01,Gujarat,Anand,Jio,5.51,172.48,61.13,22.79
2023-01,Gujarat,Anand,Airtel,4.1,203.66,72.98,20.94
2023-01,Gujarat,Anand,Vi,2.23,156.99,71.59,33.74
2023-01,Gujarat,Anand,BSNL,0.62,96.98,55.78,20.25
2023-01,Gujarat,Anand,MTNL,0.18,97.85,67.41,26.94
2023-01,Gujarat,Bharuch,Jio,6.78,180.03,57.66,16.5
2023-01,Gujarat,Bharuch,Airtel,5.26,216.85,72.21,23.7
2023-01,Gujarat,Bharuch,Vi,2.98,147.39,74.99,28.89
2023-01,Gujarat,Bharuch,BSNL,0.9,83.16,64.02,16.83
2023-01,Gujarat,Bharuch,MTNL,0.25,107.52,78.76,23.92
2023-01,Rajasthan,Jaipur,Jio,6.05,175.55,76.82,29.64
2023-01,Rajasthan,Jaipur,Airtel,7.34,219.2,72.31,31.98
2023-01,Rajasthan,Jaipur,Vi,2.46,147.49,60.53,34.75
2023-01,Rajasthan,Jaipur,BSNL,0.52,103.32,72.64,33.5
2023-01,Rajasthan,Jaipur,MTNL,0.43,85.42,77.89,15.68
2023-01,Rajasthan,Jodhpur,Jio,4.74,190.92,78.11,34.42
2023-01,Rajasthan,Jodhpur,Airtel,6.09,223.33,76.55,31.89
2023-01,Rajasthan,Jodhpur,Vi,3.52,149.57,55.93,26.93
2023-01,Rajasthan,Jodhpur,BSNL,0.5,81.9,56.92,28.93
2023-01,Rajasthan,Jodhpur,MTNL,0.54,90.2,56.63,21.31
2023-01,Rajasthan,Udaipur,Jio,8.24,186.18,62.97,27.52
2023-01,Rajasthan,Udaipur,Airtel,7.1,221.58,60.82,15.49
2023-01,Rajasthan,Udaipur,Vi,1.19,166.1,76.87,25.58
2023-01,Rajasthan,Udaipur,BSNL,1.58,103.17,79.95,22.01
2023-01,Rajasthan,Udaipur,MTNL,0.43,103.02,67.0,27.55
2023-01,Rajasthan,Kota,Jio,10.18,196.21,74.21,23.36
2023-01,Rajasthan,Kota,Airtel,7.5,207.64,60.97,17.21
2023-01,Rajasthan,Kota,Vi,1.89,150.64,62.41,19.67
2023-01,Rajasthan,Kota,BSNL,0.36,76.26,79.69,23.56
2023-01,Rajasthan,Kota,MTNL,0.52,91.53,60.46,34.0
2023-01,Rajasthan,Bikaner,Jio,3.22,193.59,65.44,32.58
2023-01,Rajasthan,Bikaner,Airtel,6.04,223.34,70.34,18.34
2023-01,Rajasthan,Bikaner,Vi,1.94,169.74,78.57,27.99
2023-01,Rajasthan,Bikaner,BSNL,1.06,93.23,60.77,18.53
2023-01,Rajasthan,Bikaner,MTNL,0.25,86.61,74.49,22.0
2023-01,Rajasthan,Ajmer,Jio,8.81,171.74,77.09,33.56
2023-01,Rajasthan,Ajmer,Airtel,3.85,224.85,64.91,30.16
2023-01,Rajasthan,Ajmer,Vi,1.59,160.88,75.4,19.49
2023-01,Rajasthan,Ajmer,BSNL,0.96,81.71,69.82,26.6
2023-01,Rajasthan,Ajmer,MTNL,0.56,82.74,61.64,17.59
2023-01,Rajasthan,Bhilwara,Jio,9.98,196.66,76.55,31.19
2023-01,Rajasthan,Bhilwara,Airtel,6.41,214.66,57.17,23.17
2023-01,Rajasthan,Bhilwara,Vi,1.82,151.18,73.09,24.92
2023-01,Rajasthan,Bhilwara,BSNL,0.58,77.43,72.08,16.52
2023-01,Rajasthan,Bhilwara,MTNL,0.49,105.54,67.01,26.85
2023-01,Rajasthan,Alwar,Jio,5.22,194.74,71.95,26.31
2023-01,Rajasthan,Alwar,Airtel,8.3,203.01,74.94,28.17
2023-01,Rajasthan,Alwar,Vi,4.02,165.52,72.71,31.74
2023-01,Rajasthan,Alwar,BSNL,1.31,95.92,70.47,30.05
2023-01,Rajasthan,Alwar,MTNL,0.58,84.76,76.8,15.58
2023-01,Rajasthan,Sikar,Jio,3.54,194.77,63.38,29.87
2023-01,Rajasthan,Sikar,Airtel,7.76,199.82,75.8,25.15
2023-01,Rajasthan,Sikar,Vi,1.76,140.19,70.42,34.62
2023-01,Rajasthan,Sikar,BSNL,0.75,93.95,70.85,25.8
2023-01,Rajasthan,Sikar,MTNL,0.26,103.4,74.03,25.83
2023-01,Rajasthan,Pali,Jio,5.29,198.89,70.82,33.64
2023-01,Rajasthan,Pali,Airtel,8.49,198.08,72.2,16.36
2023-01,Rajasthan,Pali,Vi,3.14,149.03,56.68,26.64
2023-01,Rajasthan,Pali,BSNL,1.1,85.38,56.14,32.43
2023-01,Rajasthan,Pali,MTNL,0.8,109.2,73.74,17.6
2023-01,West Bengal,Kolkata,Jio,3.26,192.75,55.55,21.47
2023-01,West Bengal,Kolkata,Airtel,9.37,209.66,72.08,23.92
2023-01,West Bengal,Kolkata,Vi,4.79,148.21,65.65,24.03
2023-01,West Bengal,Kolkata,BSNL,1.46,79.91,72.34,19.42
2023-01,West Bengal,Kolkata,MTNL,0.56,82.47,71.36,20.47
2023-01,West Bengal,Howrah,Jio,4.54,198.53,65.81,33.87
2023-01,West Bengal,Howrah,Airtel,8.17,207.59,64.94,20.48
2023-01,West Bengal,Howrah,Vi,3.06,169.52,77.35,19.6
2023-01,West Bengal,Howrah,BSNL,0.48,81.39,71.29,22.37
2023-01,West Bengal,Howrah,MTNL,0.58,105.93,79.2,18.71
2023-01,West Bengal,Durgapur,Jio,10.28,196.06,74.27,31.9
2023-01,West Bengal,Durgapur,Airtel,8.47,217.83,58.28,15.65
2023-01,West Bengal,Durgapur,Vi,3.87,167.63,74.91,24.63
2023-01,West Bengal,Durgapur,BSNL,0.58,78.52,72.14,23.61
2023-01,West Bengal,Durgapur,MTNL,0.48,86.02,56.61,26.64
2023-01,West Bengal,Asansol,Jio,9.52,178.07,62.76,24.1
2023-01,West Bengal,Asansol,Airtel,3.21,195.35,64.81,24.6
2023-01,West Bengal,Asansol,Vi,2.4,158.0,72.37,32.2
2023-01,West Bengal,Asansol,BSNL,0.59,98.4,67.01,17.1
2023-01,West Bengal,Asansol,MTNL,0.78,87.26,58.56,24.98
2023-01,West Bengal,Siliguri,Jio,9.23,188.54,68.99,15.2
2023-01,West Bengal,Siliguri,Airtel,7.06,204.79,57.2,22.01
2023-01,West Bengal,Siliguri,Vi,1.41,141.0,64.92,17.65
2023-01,West Bengal,Siliguri,BSNL,1.52,92.03,75.01,19.0
2023-01,West Bengal,Siliguri,MTNL,0.25,85.02,70.91,29.13
2023-01,West Bengal,Bardhaman,Jio,10.25,170.95,56.3,25.83
2023-01,West Bengal,Bardhaman,Airtel,10.55,216.27,72.85,31.03
2023-01,West Bengal,Bardhaman,Vi,4.19,150.18,57.0,32.9
2023-01,West Bengal,Bardhaman,BSNL,1.7,91.43,66.31,27.87
2023-01,West Bengal,Bardhaman,MTNL,0.69,95.79,57.04,16.21
2023-01,West Bengal,Malda,Jio,4.13,177.41,76.79,19.38
2023-01,West Bengal,Malda,Airtel,6.09,224.28,59.55,30.79
2023-01,West Bengal,Malda,Vi,3.23,159.76,68.88,29.38
2023-01,West Bengal,Malda,BSNL,1.76,81.85,79.37,28.01
2023-01,West Bengal,Malda,MTNL,0.59,85.99,56.8,15.61
2023-01,West Bengal,Baharampur,Jio,6.68,177.73,76.71,29.54
2023-01,West Bengal,Baharampur,Airtel,6.68,217.28,63.65,22.42
2023-01,West Bengal,Baharampur,Vi,1.54,169.63,76.68,26.57
2023-01,West Bengal,Baharampur,BSNL,1.51,88.16,67.17,32.47
2023-01,West Bengal,Baharampur,MTNL,0.55,107.02,61.92,26.85
2023-01,West Bengal,Habra,Jio,5.07,197.37,70.57,27.63
2023-01,West Bengal,Habra,Airtel,4.09,216.99,72.9,33.18
2023-01,West Bengal,Habra,Vi,2.02,145.39,79.28,18.62
2023-01,West Bengal,Habra,BSNL,1.35,100.63,61.18,32.41
2023-01,West Bengal,Habra,MTNL,0.53,93.36,63.98,26.86
2023-01,West Bengal,Kharagpur,Jio,5.99,174.91,79.24,20.16
2023-01,West Bengal,Kharagpur,Airtel,5.73,214.7,74.34,17.62
2023-01,West Bengal,Kharagpur,Vi,3.23,169.09,60.9,16.47
2023-01,West Bengal,Kharagpur,BSNL,1.11,80.09,63.43,31.58
2023-01,West Bengal,Kharagpur,MTNL,0.37,92.93,70.43,29.14
2023-01,Andhra Pradesh,Visakhapatnam,Jio,2.76,175.01,55.92,29.73
2023-01,Andhra Pradesh,Visakhapatnam,Airtel,4.69,214.91,76.1,31.11
2023-01,Andhra Pradesh,Visakhapatnam,Vi,3.07,157.56,60.15,17.24
2023-01,Andhra Pradesh,Visakhapatnam,BSNL,0.35,83.09,68.28,33.73
2023-01,Andhra Pradesh,Visakhapatnam,MTNL,0.17,81.18,66.3,33.68
2023-01,Andhra Pradesh,Vijayawada,Jio,4.75,179.48,56.04,17.97
2023-01,Andhra Pradesh,Vijayawada,Airtel,7.87,224.6,55.12,34.04
