customer_id,state,operator,plan_type,tenure_months,monthly_charge,total_charges,internet_service,num_complaints,churn
C000070,Kerala,Jio,Postpaid,10,936.68,9366.82,Fiber,3,1
C000071,Goa,Vi,Postpaid,55,553.73,30454.99,Fiber,3,1
C000072,Gujarat,Jio,Prepaid,56,181.16,10144.85,4G,3,0
C000073,Telangana,Jio,Prepaid,14,362.89,5080.46,3G,1,0
C000074,West Bengal,Vi,Postpaid,37,809.66,29957.28,No Service,0,0
C000075,Telangana,BSNL,Prepaid,1,356.15,356.15,Fiber,2,1
C000076,Jammu & Kashmir,Airtel,Postpaid,3,784.36,2353.08,Fiber,1,1
C000077,Maharashtra,Jio,Prepaid,28,164.49,4605.63,3G,2,1
C000078,Rajasthan,Vi,Postpaid,103,435.84,44891.9,Fiber,4,0
C000079,Uttar Pradesh,Jio,Prepaid,2,798.43,1596.86,Fiber,2,1
C000080,Bihar,Airtel,Prepaid,16,109.22,1747.49,No Service,1,0
C000081,Gujarat,Jio,Postpaid,3,683.29,2049.87,Fiber,3,1
C000082,Bihar,Jio,Prepaid,48,300.24,14411.34,Fiber,1,0
C000083,Bihar,Vi,Postpaid,1,901.03,901.03,4G,2,0
C000084,Andhra Pradesh,BSNL,Prepaid,83,341.87,28375.45,No Service,2,0
C000085,Maharashtra,Jio,Postpaid,21,910.04,19110.89,No Service,0,0
C000086,Goa,BSNL,Prepaid,72,540.14,38890.26,3G,2,1
C000087,Rajasthan,Vi,Prepaid,14,417.02,5838.24,No Service,1,0
C000088,Karnataka,BSNL,Prepaid,102,436.41,44513.55,4G,1,0
C000089,Delhi,Jio,Prepaid,27,245.36,6624.59,4G,5,0
C000090,Maharashtra,Vi,Postpaid,48,139.7,6705.45,3G,0,0
C000091,Telangana,BSNL,Postpaid,39,592.53,23108.64,3G,0,0
C000092,Jammu & Kashmir,Airtel,Postpaid,11,971.92,10691.15,Fiber,3,0
C000093,Uttar Pradesh,BSNL,Postpaid,1,526.35,526.35,4G,7,0
C000094,Uttarakhand,MTNL,Postpaid,3,574.59,1723.76,Fiber,1,0
C000095,Uttar Pradesh,Airtel,Postpaid,23,421.35,9690.97,3G,0,0
C000096,Haryana,Airtel,Prepaid,17,794.09,13499.47,No Service,3,0
C000097,Uttarakhand,Jio,Prepaid,12,219.61,2635.36,No Service,0,0
C000098,Maharashtra,Airtel,Prepaid,23,732.67,16851.45,3G,0,1
C000099,Haryana,Jio,Postpaid,0,414.53,0.0,3G,2,0
C000100,Goa,BSNL,Postpaid,10,336.95,3369.54,3G,2,0
C000101,Goa,Airtel,Postpaid,71,231.37,16427.0,3G,2,0
C000102,Jharkhand,Jio,Postpaid,93,542.36,50439.13,No Service,1,0
C000103,Goa,Vi,Prepaid,1,214.99,214.99,3G,0,1
C000104,Punjab,Airtel,Prepaid,3,675.79,2027.36,3G,0,0
C000105,Kerala,Jio,Postpaid,54,525.57,28380.54,No Service,1,0
C000106,Delhi,Airtel,Prepaid,1,251.04,251.04,No Service,1,1
C000107,Rajasthan,Vi,Postpaid,3,513.7,1541.1,3G,0,1
C000108,Tamil Nadu,Vi,Prepaid,16,720.36,11525.69,3G,0,0
C000109,Andhra Pradesh,Vi,Prepaid,23,172.58,3969.41,Fiber,2,0
C000110,Karnataka,Jio,Postpaid,39,772.43,30124.92,Fiber,0,0
C000111,Delhi,Airtel,Prepaid,11,535.07,5885.78,No Service,2,0
C000112,Odisha,Airtel,Prepaid,0,326.19,0.0,Fiber,3,1
C000113,Uttar Pradesh,Vi,Prepaid,14,578.36,8096.98,4G,1,0
C000114,Assam,Airtel,Prepaid,0,388.87,0.0,Fiber,0,0
C000115,Delhi,Jio,Postpaid,3,900.47,2701.42,3G,3,1
C000116,Delhi,Airtel,Postpaid,18,627.16,11288.83,No Service,2,0
C000117,Rajasthan,Vi,Postpaid,10,680.33,6803.26,No Service,1,0
C000118,Telangana,Vi,Postpaid,22,312.5,6875.09,No Service,0,1
C000119,Jammu & Kashmir,Jio,Postpaid,6,243.61,1461.68,Fiber,0,0
C000120,Kerala,Jio,Postpaid,4,906.09,3624.36,3G,0,0
C000121,Jharkhand,Jio,Prepaid,12,983.14,11797.69,4G,0,0
C000122,Punjab,Vi,Prepaid,83,877.96,72870.38,Fiber,1,1
C000123,Haryana,Airtel,Postpaid,26,935.44,24321.4,No Service,2,0
C000124,Karnataka,Jio,Postpaid,4,390.31,1561.25,No Service,1,1
C000125,Uttarakhand,BSNL,Prepaid,2,389.13,778.27,No Service,1,1
C000126,Odisha,Jio,Postpaid,15,578.33,8674.96,3G,0,0
C000127,Punjab,BSNL,Postpaid,3,93.62,280.87,4G,3,0
C000128,Odisha,Jio,Postpaid,34,635.07,21592.55,No Service,1,0
C000129,Maharashtra,Airtel,Postpaid,63,846.56,53333.12,4G,1,0
C000130,Delhi,BSNL,Prepaid,66,157.27,10379.55,No Service,0,0
C000131,Uttarakhand,Airtel,Prepaid,20,856.65,17132.92,Fiber,0,0
C000132,Jammu & Kashmir,Airtel,Postpaid,5,246.29,1231.45,4G,0,0
C000133,Karnataka,Jio,Postpaid,26,569.76,14813.73,4G,2,0
C000134,Delhi,Jio,Postpaid,13,438.25,5697.25,3G,1,0
C000135,Haryana,Jio,Prepaid,16,307.99,4927.86,No Service,2,0
C000136,Maharashtra,Vi,Prepaid,23,204.21,4696.79,3G,2,1
C000137,Andhra Pradesh,Vi,Prepaid,37,657.07,24311.42,Fiber,3,0
C000138,Andhra Pradesh,Jio,Prepaid,6,768.55,4611.31,4G,0,0
C000139,Andhra Pradesh,Jio,Prepaid,34,888.09,30195.03,4G,2,0
C000140,Delhi,Vi,Postpaid,3,456.56,1369.68,4G,1,1
C000141,Himachal Pradesh,Airtel,Prepaid,30,747.03,22410.99,4G,3,0
C000142,Kerala,Jio,Prepaid,4,916.61,3666.42,3G,2,0
C000143,Uttarakhand,Vi,Postpaid,3,626.61,1879.82,No Service,2,0
C000144,West Bengal,Jio,Prepaid,64,607.62,38887.67,Fiber,3,0
C000145,Kerala,BSNL,Prepaid,22,288.43,6345.47,Fiber,4,0
C000146,Bihar,Airtel,Postpaid,43,211.2,9081.45,Fiber,4,1
C000147,Assam,Airtel,Prepaid,9,821.57,7394.11,No Service,0,0
C000148,Odisha,Jio,Postpaid,12,582.66,6991.87,No Service,2,0
C000149,Gujarat,Airtel,Postpaid,14,301.14,4216.02,No Service,1,0
C000150,Delhi,Airtel,Postpaid,16,476.03,7616.53,3G,2,0
C000151,Andhra Pradesh,BSNL,Prepaid,0,417.71,0.0,3G,0,0
C000152,Delhi,Jio,Postpaid,3,472.16,1416.49,No Service,0,0
C000153,Madhya Pradesh,Jio,Postpaid,16,634.85,10157.54,4G,0,0
C000154,Odisha,Jio,Postpaid,5,907.25,4536.24,3G,0,1
C000155,Telangana,BSNL,Postpaid,0,314.32,0.0,Fiber,1,0
C000156,Assam,BSNL,Prepaid,14,342.57,4795.99,4G,1,0
C000157,Haryana,Airtel,Prepaid,4,262.74,1050.94,No Service,3,0
C000158,Jammu & Kashmir,Vi,Postpaid,12,121.85,1462.17,Fiber,0,0
C000159,Tamil Nadu,Jio,Postpaid,25,123.39,3084.66,4G,0,0
C000160,Kerala,Vi,Postpaid,26,116.74,3035.23,No Service,0,0
C000161,Jharkhand,Airtel,Postpaid,4,686.47,2745.89,3G,1,1
C000162,Bihar,Vi,Postpaid,30,869.13,26073.8,3G,2,1
C000163,Telangana,Jio,Prepaid,8,905.7,7245.62,3G,0,1
C000164,Uttar Pradesh,Vi,Prepaid,5,122.88,614.39,4G,0,0
C000165,West Bengal,Vi,Postpaid,13,902.4,11731.26,3G,2,0
C000166,Uttar Pradesh,BSNL,Postpaid,21,204.15,4287.24,4G,2,0
C000167,Bihar,Jio,Prepaid,8,952.61,7620.86,4G,1,0
C000168,Telangana,Jio,Prepaid,16,904.1,14465.55,3G,2,0
C000169,Gujarat,Airtel,Postpaid,18,669.13,12044.35,Fiber,1,0
C000170,Maharashtra,Airtel,Postpaid,99,572.12,56640.0,No Service,0,0
C000171,Delhi,Jio,Prepaid,0,921.87,0.0,3G,0,0
C000172,Odisha,Jio,Prepaid,7,597.76,4184.32,No Service,2,1
C000173,Odisha,Jio,Prepaid,3,909.02,2727.05,4G,3,1
C000174,Gujarat,Vi,Postpaid,58,475.89,27601.82,Fiber,1,1
C000175,Andhra Pradesh,Jio,Postpaid,4,763.23,3052.92,4G,0,0
C000176,Assam,Airtel,Postpaid,6,449.37,2696.2,3G,1,0
C000177,Uttarakhand,MTNL,Postpaid,8,365.26,2922.07,Fiber,3,0
C000178,Himachal Pradesh,MTNL,Prepaid,0,201.02,0.0,4G,1,0
C000179,Jammu & Kashmir,Jio,Prepaid,21,399.82,8396.21,4G,1,1
C000180,Andhra Pradesh,Jio,Prepaid,31,544.94,16893.21,4G,2,0
C000181,Maharashtra,Airtel,Postpaid,38,724.23,27520.62,3G,1,0
C000182,Karnataka,Jio,Postpaid,2,924.58,1849.16,No Service,0,0
C000183,Tamil Nadu,Vi,Postpaid,14,265.62,3718.67,4G,4,0
C000184,Haryana,Jio,Prepaid,45,323.7,14566.55,4G,1,0
C000185,Telangana,Vi,Prepaid,69,134.48,9279.4,Fiber,2,0
C000186,Rajasthan,Vi,Postpaid,59,129.55,7643.53,No Service,1,0
C000187,Uttar Pradesh,Airtel,Postpaid,85,948.84,80651.39,No Service,3,0
C000188,Telangana,Airtel,Postpaid,0,635.64,0.0,No Service,1,1
C000189,Tamil Nadu,Airtel,Postpaid,28,404.89,11336.85,3G,1,0
C000190,Himachal Pradesh,Jio,Prepaid,18,810.65,14591.72,4G,1,0
C000191,Goa,BSNL,Prepaid,22,185.2,4074.36,3G,0,0
C000192,Uttarakhand,Jio,Prepaid,0,886.23,0.0,No Service,4,0
C000193,Assam,Vi,Postpaid,12,530.89,6370.66,4G,4,0
C000194,Uttarakhand,Airtel,Postpaid,32,313.9,10044.78,Fiber,0,0
C000195,Odisha,Jio,Postpaid,8,365.68,2925.42,3G,1,1
C000196,Goa,Jio,Prepaid,105,484.0,50819.56,3G,2,0
C000197,Haryana,Vi,Postpaid,37,179.47,6640.39,No Service,3,0
C000198,Jharkhand,Jio,Prepaid,4,991.05,3964.21,3G,1,0
C000199,Telangana,Jio,Postpaid,22,560.42,12329.23,Fiber,1,0
C000200,Goa,BSNL,Postpaid,4,480.38,1921.5,No Service,1,0
C000201,Karnataka,Jio,Postpaid,51,933.98,47632.83,No Service,1,0
C000202,Jammu & Kashmir,Airtel,Prepaid,34,725.42,24664.23,4G,0,0
C000203,Telangana,Airtel,Postpaid,6,300.44,1802.62,No Service,2,1
C000204,Odisha,Jio,Prepaid,50,338.04,16902.0,4G,0,0
C000205,Kerala,Airtel,Postpaid,74,874.91,64743.7,Fiber,3,0
C000206,Andhra Pradesh,MTNL,Prepaid,11,199.67,2196.34,No Service,2,0
C000207,Uttar Pradesh,Airtel,Prepaid,27,167.52,4522.98,No Service,2,0
C000208,Kerala,Airtel,Postpaid,41,412.03,16893.16,No Service,2,0
C000209,Odisha,MTNL,Prepaid,38,414.96,15768.63,No Service,5,0
C000210,Jharkhand,Jio,Prepaid,33,241.74,7977.57,4G,2,0
C000211,Tamil Nadu,Jio,Postpaid,3,400.61,1201.82,3G,1,0
C000212,Assam,Jio,Prepaid,42,555.72,23340.28,3G,0,0
C000213,Kerala,BSNL,Postpaid,23,589.24,13552.53,4G,1,0
C000214,Delhi,Airtel,Postpaid,18,800.86,14415.5,3G,0,0
C000215,Jharkhand,Vi,Postpaid,18,965.69,17382.47,No Service,1,0
C000216,Madhya Pradesh,BSNL,Prepaid,2,565.5,1131.01,No Service,1,1
C000217,Andhra Pradesh,BSNL,Postpaid,29,95.77,2777.31,Fiber,1,0
C000218,Madhya Pradesh,Vi,Postpaid,1,883.38,883.38,No Service,3,0
C000219,Goa,Vi,Prepaid,0,118.91,0.0,No Service,1,0
C000220,Karnataka,Jio,Postpaid,27,500.31,13508.44,Fiber,2,0
C000221,Delhi,Jio,Postpaid,4,814.33,3257.31,Fiber,1,1
C000222,Gujarat,Airtel,Prepaid,27,688.06,18577.62,Fiber,2,0
C000223,Odisha,Vi,Postpaid,69,476.75,32896.07,3G,2,0
C000224,Himachal Pradesh,Vi,Prepaid,12,903.69,10844.27,3G,1,1
C000225,Goa,BSNL,Postpaid,25,258.4,6460.11,3G,3,0
C000226,Jammu & Kashmir,Vi,Postpaid,35,792.83,27749.04,Fiber,3,1
C000227,Himachal Pradesh,Jio,Postpaid,60,653.99,39239.12,4G,2,0
C000228,Tamil Nadu,Airtel,Prepaid,27,486.28,13129.43,Fiber,0,0
C000229,Delhi,Jio,Postpaid,1,622.77,622.77,Fiber,1,0
C000230,Karnataka,Jio,Prepaid,14,109.46,1532.42,3G,0,0
C000231,Bihar,Airtel,Prepaid,15,639.02,9585.28,4G,1,0
C000232,Assam,Airtel,Prepaid,36,134.66,4847.65,4G,1,0
C000233,Rajasthan,Jio,Postpaid,103,227.25,23406.34,4G,2,0
C000234,Odisha,BSNL,Prepaid,0,235.69,0.0,4G,1,1
C000235,Delhi,Airtel,Postpaid,0,169.72,0.0,3G,1,0
C000236,Goa,Jio,Postpaid,28,819.53,22946.78,3G,0,0
C000237,Goa,Airtel,Prepaid,2,671.79,1343.57,No Service,1,0
C000238,Bihar,MTNL,Postpaid,1,351.7,351.7,No Service,4,0
C000239,Telangana,Airtel,Postpaid,2,904.33,1808.67,4G,2,0
C000240,Punjab,BSNL,Prepaid,17,454.46,7725.79,4G,0,1
C000241,Punjab,Airtel,Postpaid,6,242.59,1455.54,3G,1,0
C000242,Maharashtra,MTNL,Postpaid,9,157.74,1419.69,3G,3,0
C000243,Maharashtra,Airtel,Prepaid,6,995.7,5974.2,No Service,2,0
C000244,Kerala,Vi,Prepaid,1,126.59,126.59,3G,1,0
C000245,Andhra Pradesh,Airtel,Postpaid,31,767.44,23790.51,4G,1,0
C000246,Jammu & Kashmir,Jio,Prepaid,105,135.1,14185.32,3G,2,0
C000247,Delhi,Jio,Postpaid,16,885.08,14161.29,4G,2,0
C000248,Tamil Nadu,BSNL,Postpaid,58,173.16,10043.14,No Service,3,0
C000249,Rajasthan,Jio,Postpaid,57,260.71,14860.74,3G,2,0
C000250,Rajasthan,Jio,Postpaid,16,321.51,5144.13,3G,2,0
C000251,Madhya Pradesh,Vi,Postpaid,21,246.17,5169.6,Fiber,2,0
C000252,Gujarat,Vi,Prepaid,9,795.13,7156.13,No Service,0,0
C000253,Jharkhand,Airtel,Postpaid,14,311.45,4360.24,Fiber,0,0
C000254,Telangana,Airtel,Postpaid,17,402.3,6839.15,3G,2,0
C000255,Goa,Vi,Postpaid,29,249.34,7230.79,No Service,0,1
C000256,Jammu & Kashmir,BSNL,Prepaid,31,417.85,12953.49,4G,3,0
C000257,Odisha,Jio,Postpaid,5,199.73,998.64,4G,1,0
C000258,Jammu & Kashmir,Jio,Postpaid,66,134.41,8871.01,3G,0,0
C000259,Jammu & Kashmir,Airtel,Prepaid,65,383.54,24930.13,Fiber,1,0
C000260,Karnataka,Jio,Postpaid,103,967.61,99663.5,Fiber,0,0
C000261,Uttar Pradesh,Jio,Prepaid,24,880.13,21123.04,No Service,2,0
C000262,Delhi,Airtel,Postpaid,3,125.98,377.93,4G,1,1
C000263,Haryana,Vi,Postpaid,26,971.92,25269.94,No Service,0,0
C000264,Telangana,Jio,Postpaid,14,880.33,12324.59,4G,0,0
C000265,Delhi,Airtel,Prepaid,43,949.15,40813.57,3G,2,0
C000266,Uttar Pradesh,MTNL,Postpaid,20,75.81,1516.18,3G,3,0
C000267,Karnataka,Airtel,Prepaid,12,685.11,8221.32,Fiber,0,0
C000268,Delhi,Jio,Prepaid,178,142.39,25345.57,Fiber,4,0
C000269,Karnataka,Vi,Prepaid,50,462.73,23136.31,4G,1,0
C000270,Uttarakhand,Jio,Prepaid,34,817.03,27779.1,4G,2,0
C000271,Andhra Pradesh,Jio,Prepaid,0,391.13,0.0,Fiber,1,0
C000272,Telangana,BSNL,Prepaid,11,301.69,3318.64,4G,1,0
C000273,Jharkhand,Jio,Prepaid,1,642.1,642.1,Fiber,2,0
C000274,Goa,BSNL,Prepaid,47,339.7,15966.1,Fiber,1,0
C000275,Bihar,Vi,Prepaid,11,457.94,5037.35,3G,2,0
C000276,Maharashtra,Jio,Prepaid,40,745.31,29812.43,4G,1,0
C000277,Haryana,Airtel,Prepaid,0,681.73,0.0,No Service,1,0
C000278,Delhi,Vi,Prepaid,1,939.99,939.99,No Service,1,1
C000279,Assam,Jio,Prepaid,7,355.39,2487.7,3G,2,0
C000280,Delhi,Airtel,Prepaid,22,743.54,16357.78,Fiber,1,1
C000281,Odisha,BSNL,Postpaid,4,427.2,1708.81,Fiber,0,0
C000282,Odisha,Vi,Postpaid,29,195.19,5660.49,Fiber,1,0
C000283,Tamil Nadu,Jio,Prepaid,15,824.39,12365.9,Fiber,1,0
C000284,Gujarat,Jio,Postpaid,72,640.45,46112.45,No Service,2,0
C000285,Himachal Pradesh,Airtel,Postpaid,22,468.93,10316.36,No Service,3,0
C000286,Uttar Pradesh,Vi,Prepaid,7,839.35,5875.47,4G,2,0
C000287,Haryana,Airtel,Prepaid,14,626.95,8777.27,No Service,0,0
C000288,Madhya Pradesh,Vi,Postpaid,47,294.07,13821.09,No Service,0,1
C000289,Uttar Pradesh,Jio,Postpaid,24,645.38,15489.23,3G,1,0
C000290,Bihar,MTNL,Postpaid,21,327.65,6880.74,Fiber,1,0
C000291,Tamil Nadu,BSNL,Prepaid,12,290.63,3487.53,No Service,3,1
C000292,Uttar Pradesh,Vi,Postpaid,30,619.55,18586.45,4G,1,1
C000293,Jharkhand,Jio,Postpaid,53,271.68,14399.07,Fiber,1,0
C000294,Haryana,Airtel,Postpaid,1,566.15,566.15,Fiber,0,0
C000295,Kerala,Airtel,Postpaid,6,585.01,3510.06,Fiber,3,0
C000296,Uttarakhand,Airtel,Prepaid,26,993.73,25836.86,No Service,3,1
C000297,Andhra Pradesh,BSNL,Postpaid,19,576.52,10953.84,3G,0,0
C000298,Uttar Pradesh,Vi,Prepaid,5,581.24,2906.22,No Service,0,0
C000299,Jharkhand,MTNL,Prepaid,33,247.09,8153.92,3G,3,0
C000300,Maharashtra,Jio,Postpaid,3,992.24,2976.71,3G,3,0
C000301,Bihar,Jio,Prepaid,2,778.74,1557.49,No Service,0,0
C000302,Tamil Nadu,Jio,Prepaid,36,736.87,26527.33,Fiber,0,0
C000303,Assam,Jio,Postpaid,7,423.12,2961.86,No Service,0,0
C000304,Madhya Pradesh,Jio,Postpaid,19,373.97,7105.47,3G,1,0
C000305,Uttarakhand,Airtel,Prepaid,17,926.45,15749.7,4G,3,0
C000306,Rajasthan,Vi,Prepaid,2,834.7,1669.41,Fiber,4,1
C000307,Telangana,Airtel,Postpaid,2,461.68,923.36,No Service,0,0
C000308,Himachal Pradesh,Airtel,Postpaid,10,977.05,9770.49,4G,2,0
C000309,Assam,Jio,Postpaid,61,537.36,32778.7,Fiber,2,0
C000310,Kerala,Vi,Postpaid,12,230.74,2768.84,3G,1,1
C000311,Karnataka,Jio,Prepaid,3,965.8,2897.41,Fiber,3,0
C000312,West Bengal,Jio,Prepaid,13,194.1,2523.28,4G,1,0
C000313,Telangana,Jio,Prepaid,25,235.82,5895.56,Fiber,0,0
C000314,Odisha,Vi,Prepaid,14,151.35,2118.86,4G,1,0
C000315,Punjab,Airtel,Prepaid,98,314.26,30797.69,3G,0,0
C000316,Tamil Nadu,Airtel,Prepaid,8,189.94,1519.53,No Service,1,0
C000317,Maharashtra,Airtel,Prepaid,137,831.57,113925.53,3G,1,0
C000318,Uttarakhand,Airtel,Postpaid,17,482.48,8202.08,No Service,0,0
C000319,Kerala,Jio,Prepaid,14,274.16,3838.24,3G,1,0
C000320,Rajasthan,Vi,Postpaid,31,791.37,24532.61,3G,0,0
C000321,Tamil Nadu,Airtel,Prepaid,15,116.27,1744.1,4G,1,0
C000322,Haryana,Airtel,Prepaid,18,292.68,5268.27,No Service,0,0
C000323,Kerala,Vi,Prepaid,89,820.38,73014.12,3G,2,0
C000324,Rajasthan,Jio,Prepaid,14,858.92,12024.9,4G,0,0
C000325,Bihar,Airtel,Prepaid,3,391.21,1173.63,4G,2,0
C000326,Uttar Pradesh,Jio,Prepaid,14,805.51,11277.21,4G,3,0
C000327,Himachal Pradesh,Jio,Prepaid,13,328.2,4266.65,4G,1,0
C000328,Jammu & Kashmir,Airtel,Postpaid,14,672.48,9414.74,3G,4,0
C000329,Jammu & Kashmir,Jio,Postpaid,3,762.69,2288.07,Fiber,2,1
C000330,Odisha,Airtel,Postpaid,30,163.88,4916.28,3G,0,1
C000331,Uttarakhand,Jio,Prepaid,75,762.76,57206.81,3G,1,0
C000332,Delhi,Airtel,Prepaid,35,694.23,24298.17,3G,0,0
C000333,Kerala,Jio,Prepaid,2,693.27,1386.54,No Service,1,1
C000334,Delhi,Airtel,Prepaid,2,970.07,1940.15,No Service,2,0
C000335,Uttarakhand,Vi,Postpaid,5,208.25,1041.24,No Service,3,1
C000336,Assam,Jio,Prepaid,82,817.84,67063.11,No Service,2,0
C000337,Uttar Pradesh,Vi,Postpaid,33,829.59,27376.56,Fiber,1,0
C000338,Assam,Airtel,Prepaid,63,301.15,18972.71,4G,1,0
C000339,Delhi,MTNL,Prepaid,22,568.66,12510.54,3G,1,0
C000340,Bihar,BSNL,Postpaid,52,408.14,21223.17,No Service,2,0
C000341,Madhya Pradesh,Vi,Prepaid,60,326.02,19561.02,3G,3,0
C000342,Tamil Nadu,Jio,Postpaid,25,258.69,6467.15,3G,3,0
C000343,Telangana,Vi,Prepaid,3,752.38,2257.15,3G,1,0
C000344,Tamil Nadu,Airtel,Prepaid,44,758.52,33374.94,3G,2,0
C000345,Kerala,MTNL,Postpaid,19,431.4,8196.56,4G,3,0
C000346,Himachal Pradesh,Vi,Prepaid,0,321.01,0.0,3G,2,1
C000347,Jharkhand,Airtel,Postpaid,38,282.63,10740.02,4G,3,0
C000348,Goa,Vi,Prepaid,36,597.8,21520.94,No Service,0,0
