month,state,city,operator,call_drop_rate,avg_data_speed_mbps,tower_uptime_perc,latency_ms,complaints_per_1k
2023-01,Tamil Nadu,Chennai,Vi,1.57,18.09,98.36,72.0,0.7
2023-01,Tamil Nadu,Chennai,BSNL,2.62,7.88,96.69,79.2,1.18
2023-01,Tamil Nadu,Chennai,MTNL,2.66,8.9,97.08,70.5,4.27
2023-01,Tamil Nadu,Coimbatore,Jio,0.88,28.07,99.06,23.4,4.39
2023-01,Tamil Nadu,Coimbatore,Airtel,0.99,35.0,99.7,53.3,3.96
2023-01,Tamil Nadu,Coimbatore,Vi,1.77,20.25,97.95,47.0,1.08
2023-01,Tamil Nadu,Coimbatore,BSNL,3.17,9.03,96.34,60.3,3.28
2023-01,Tamil Nadu,Coimbatore,MTNL,2.51,7.57,96.9,51.2,3.98
2023-01,Tamil Nadu,Madurai,Jio,0.91,30.26,99.23,53.7,4.44
2023-01,Tamil Nadu,Madurai,Airtel,0.74,30.67,99.12,65.3,3.29
2023-01,Tamil Nadu,Madurai,Vi,1.62,17.06,97.88,20.9,2.08
2023-01,Tamil Nadu,Madurai,BSNL,2.95,7.96,96.46,74.2,2.07
2023-01,Tamil Nadu,Madurai,MTNL,2.61,10.92,96.74,57.3,4.38
2023-01,Tamil Nadu,Tiruchirappalli,Jio,1.17,26.74,99.46,49.5,1.66
2023-01,Tamil Nadu,Tiruchirappalli,Airtel,0.78,34.9,99.4,39.7,3.35
2023-01,Tamil Nadu,Tiruchirappalli,Vi,1.34,16.38,97.88,27.7,1.18
2023-01,Tamil Nadu,Tiruchirappalli,BSNL,2.68,9.2,96.31,40.7,4.54
2023-01,Tamil Nadu,Tiruchirappalli,MTNL,2.58,10.34,96.6,31.5,0.68
2023-01,Tamil Nadu,Salem,Jio,0.7,27.39,99.01,25.3,1.04
2023-01,Tamil Nadu,Salem,Airtel,0.78,31.03,99.32,50.2,3.61
2023-01,Tamil Nadu,Salem,Vi,1.22,20.0,98.18,24.9,4.43
2023-01,Tamil Nadu,Salem,BSNL,3.15,6.31,96.37,68.4,3.87
2023-01,Tamil Nadu,Salem,MTNL,2.41,8.05,96.72,49.1,3.28
2023-01,Tamil Nadu,Tirunelveli,Jio,0.82,28.31,99.35,22.2,1.64
2023-01,Tamil Nadu,Tirunelveli,Airtel,0.93,34.48,99.41,51.9,0.98
2023-01,Tamil Nadu,Tirunelveli,Vi,1.47,18.66,97.95,36.2,2.2
2023-01,Tamil Nadu,Tirunelveli,BSNL,2.61,7.61,96.33,39.6,1.04
2023-01,Tamil Nadu,Tirunelveli,MTNL,2.83,9.97,96.91,67.4,2.74
2023-01,Tamil Nadu,Tiruppur,Jio,0.65,28.69,99.25,64.7,2.44
2023-01,Tamil Nadu,Tiruppur,Airtel,0.58,31.42,99.32,58.8,3.07
2023-01,Tamil Nadu,Tiruppur,Vi,1.41,20.93,98.16,34.2,0.96
2023-01,Tamil Nadu,Tiruppur,BSNL,2.69,7.23,96.3,31.2,1.78
2023-01,Tamil Nadu,Tiruppur,MTNL,2.4,11.48,96.55,51.5,2.35
2023-01,Tamil Nadu,Vellore,Jio,1.19,26.56,99.14,78.2,4.39
2023-01,Tamil Nadu,Vellore,Airtel,0.99,31.29,99.2,60.1,4.68
2023-01,Tamil Nadu,Vellore,Vi,1.53,18.86,97.97,66.2,1.34
2023-01,Tamil Nadu,Vellore,BSNL,2.79,8.13,96.5,34.5,1.02
2023-01,Tamil Nadu,Vellore,MTNL,2.67,8.44,96.85,29.3,2.67
2023-01,Tamil Nadu,Erode,Jio,0.92,26.26,99.1,28.1,0.79
2023-01,Tamil Nadu,Erode,Airtel,1.09,31.61,99.59,35.3,3.57
2023-01,Tamil Nadu,Erode,Vi,1.66,18.98,98.08,44.7,2.07
2023-01,Tamil Nadu,Erode,BSNL,3.16,10.15,96.78,27.5,3.79
2023-01,Tamil Nadu,Erode,MTNL,2.86,7.91,96.54,64.5,3.09
2023-01,Tamil Nadu,Thoothukudi,Jio,1.11,26.7,99.38,32.1,1.24
2023-01,Tamil Nadu,Thoothukudi,Airtel,0.6,34.07,99.5,51.4,2.11
2023-01,Tamil Nadu,Thoothukudi,Vi,1.73,17.96,98.29,46.3,2.2
2023-01,Tamil Nadu,Thoothukudi,BSNL,2.88,7.51,96.65,50.2,1.54
2023-01,Tamil Nadu,Thoothukudi,MTNL,2.84,8.92,96.83,74.4,3.31
2023-01,Uttar Pradesh,Lucknow,Jio,0.67,30.7,99.28,40.1,1.13
2023-01,Uttar Pradesh,Lucknow,Airtel,0.98,33.1,99.42,73.6,4.05
2023-01,Uttar Pradesh,Lucknow,Vi,1.29,17.56,97.95,64.6,0.65
2023-01,Uttar Pradesh,Lucknow,BSNL,2.94,9.81,96.73,40.5,4.2
2023-01,Uttar Pradesh,Lucknow,MTNL,2.37,11.23,96.58,43.8,4.09
2023-01,Uttar Pradesh,Kanpur,Jio,0.69,27.15,99.33,63.2,3.39
2023-01,Uttar Pradesh,Kanpur,Airtel,0.92,32.71,99.25,40.7,1.32
2023-01,Uttar Pradesh,Kanpur,Vi,1.75,18.92,98.04,47.7,4.76
2023-01,Uttar Pradesh,Kanpur,BSNL,2.69,8.93,96.5,56.7,0.58
2023-01,Uttar Pradesh,Kanpur,MTNL,2.82,11.66,96.84,61.8,4.65
2023-01,Uttar Pradesh,Agra,Jio,1.02,26.76,99.25,56.4,2.41
2023-01,Uttar Pradesh,Agra,Airtel,0.94,34.67,99.66,47.1,1.01
2023-01,Uttar Pradesh,Agra,Vi,1.79,20.19,97.87,75.3,4.41
2023-01,Uttar Pradesh,Agra,BSNL,2.91,8.96,96.44,23.3,2.01
2023-01,Uttar Pradesh,Agra,MTNL,2.78,7.02,96.7,43.9,2.92
2023-01,Uttar Pradesh,Varanasi,Jio,1.15,27.73,99.11,64.3,2.53
2023-01,Uttar Pradesh,Varanasi,Airtel,0.63,32.26,99.18,30.6,2.74
2023-01,Uttar Pradesh,Varanasi,Vi,1.45,20.57,98.02,54.8,3.35
2023-01,Uttar Pradesh,Varanasi,BSNL,2.61,9.32,96.31,77.7,1.17
2023-01,Uttar Pradesh,Varanasi,MTNL,2.55,7.43,97.1,50.1,3.18
2023-01,Uttar Pradesh,Prayagraj,Jio,0.64,29.75,99.03,73.9,1.42
2023-01,Uttar Pradesh,Prayagraj,Airtel,0.61,30.18,99.38,53.9,0.8
2023-01,Uttar Pradesh,Prayagraj,Vi,1.67,18.27,98.11,46.4,2.3
2023-01,Uttar Pradesh,Prayagraj,BSNL,2.94,6.78,96.31,71.7,4.76
2023-01,Uttar Pradesh,Prayagraj,MTNL,2.52,8.35,96.89,44.5,0.61
2023-01,Uttar Pradesh,Meerut,Jio,0.69,29.58,99.3,21.6,1.5
2023-01,Uttar Pradesh,Meerut,Airtel,0.64,33.36,99.11,26.2,4.1
2023-01,Uttar Pradesh,Meerut,Vi,1.31,19.26,97.94,26.0,1.59
2023-01,Uttar Pradesh,Meerut,BSNL,3.03,10.28,96.7,43.8,3.51
2023-01,Uttar Pradesh,Meerut,MTNL,2.42,8.47,97.04,20.8,0.88
2023-01,Uttar Pradesh,Ghaziabad,Jio,0.72,26.13,99.01,55.0,2.4
2023-01,Uttar Pradesh,Ghaziabad,Airtel,1.04,34.09,99.31,35.6,2.21
2023-01,Uttar Pradesh,Ghaziabad,Vi,1.55,17.34,98.17,44.6,2.98
2023-01,Uttar Pradesh,Ghaziabad,BSNL,2.86,7.47,96.77,65.8,1.13
2023-01,Uttar Pradesh,Ghaziabad,MTNL,2.82,9.44,97.04,68.0,2.41
2023-01,Uttar Pradesh,Noida,Jio,0.61,27.34,99.22,58.0,1.66
2023-01,Uttar Pradesh,Noida,Airtel,0.58,34.17,99.69,51.5,1.27
2023-01,Uttar Pradesh,Noida,Vi,1.36,16.09,98.35,27.1,3.09
2023-01,Uttar Pradesh,Noida,BSNL,2.76,8.77,96.59,69.8,1.43
2023-01,Uttar Pradesh,Noida,MTNL,2.31,7.68,97.04,72.4,3.19
2023-01,Uttar Pradesh,Bareilly,Jio,0.96,29.33,99.01,74.9,2.38
2023-01,Uttar Pradesh,Bareilly,Airtel,0.73,32.59,99.13,30.0,3.82
2023-01,Uttar Pradesh,Bareilly,Vi,1.25,19.02,97.95,43.4,1.8
2023-01,Uttar Pradesh,Bareilly,BSNL,2.81,9.6,96.38,54.0,2.64
2023-01,Uttar Pradesh,Bareilly,MTNL,2.7,11.68,96.94,32.9,0.64
2023-01,Uttar Pradesh,Moradabad,Jio,0.76,28.98,98.93,49.8,3.19
2023-01,Uttar Pradesh,Moradabad,Airtel,0.7,33.85,99.16,24.5,3.78
2023-01,Uttar Pradesh,Moradabad,Vi,1.5,19.44,98.06,34.8,4.19
2023-01,Uttar Pradesh,Moradabad,BSNL,3.08,9.47,96.36,55.4,2.12
2023-01,Uttar Pradesh,Moradabad,MTNL,2.35,11.59,96.58,77.0,2.51
2023-01,Gujarat,Ahmedabad,Jio,0.71,28.71,99.42,63.9,4.13
2023-01,Gujarat,Ahmedabad,Airtel,0.9,33.46,99.61,35.0,2.7
2023-01,Gujarat,Ahmedabad,Vi,1.33,20.94,98.37,22.4,3.68
2023-01,Gujarat,Ahmedabad,BSNL,3.16,6.9,96.54,74.9,0.65
2023-01,Gujarat,Ahmedabad,MTNL,2.72,8.49,97.05,78.3,4.75
2023-01,Gujarat,Surat,Jio,0.88,30.31,99.41,39.1,4.23
2023-01,Gujarat,Surat,Airtel,0.52,32.98,99.24,27.2,0.85
2023-01,Gujarat,Surat,Vi,1.62,17.7,98.23,23.9,1.92
2023-01,Gujarat,Surat,BSNL,2.92,9.95,96.39,57.6,4.49
2023-01,Gujarat,Surat,MTNL,2.67,8.16,96.51,72.2,0.6
2023-01,Gujarat,Vadodara,Jio,1.12,28.64,99.46,67.9,4.99
2023-01,Gujarat,Vadodara,Airtel,0.71,33.84,99.34,48.8,3.32
2023-01,Gujarat,Vadodara,Vi,1.72,20.92,98.26,45.1,2.4
2023-01,Gujarat,Vadodara,BSNL,3.04,7.19,96.27,41.3,1.79
2023-01,Gujarat,Vadodara,MTNL,2.48,8.17,96.53,21.1,4.94
2023-01,Gujarat,Rajkot,Jio,0.86,27.92,99.31,33.1,4.77
2023-01,Gujarat,Rajkot,Airtel,0.97,30.45,99.35,72.7,4.75
2023-01,Gujarat,Rajkot,Vi,1.48,19.07,97.9,79.5,1.54
2023-01,Gujarat,Rajkot,BSNL,3.17,9.25,96.56,50.8,1.54
2023-01,Gujarat,Rajkot,MTNL,2.41,8.1,96.61,66.8,2.08
2023-01,Gujarat,Bhavnagar,Jio,0.63,30.85,99.43,75.7,4.98
2023-01,Gujarat,Bhavnagar,Airtel,0.6,31.98,99.55,61.8,1.19
2023-01,Gujarat,Bhavnagar,Vi,1.69,17.12,97.93,52.2,3.17
2023-01,Gujarat,Bhavnagar,BSNL,2.95,6.46,96.73,35.9,1.08
2023-01,Gujarat,Bhavnagar,MTNL,2.83,11.78,97.02,68.6,3.45
2023-01,Gujarat,Jamnagar,Jio,0.93,26.43,99.15,42.4,1.67
2023-01,Gujarat,Jamnagar,Airtel,0.93,32.48,99.15,33.2,3.57
2023-01,Gujarat,Jamnagar,Vi,1.25,20.26,98.1,48.8,3.17
2023-01,Gujarat,Jamnagar,BSNL,3.09,7.74,96.61,53.9,1.7
2023-01,Gujarat,Jamnagar,MTNL,2.83,10.99,96.9,71.0,4.4
2023-01,Gujarat,Junagadh,Jio,1.03,30.19,99.32,60.8,3.28
2023-01,Gujarat,Junagadh,Airtel,0.95,30.79,99.63,72.3,0.63
2023-01,Gujarat,Junagadh,Vi,1.7,16.64,98.0,64.6,1.22
2023-01,Gujarat,Junagadh,BSNL,3.09,10.16,96.5,20.4,1.79
2023-01,Gujarat,Junagadh,MTNL,2.67,11.91,96.88,35.6,3.35
2023-01,Gujarat,Gandhinagar,Jio,0.92,29.9,98.96,65.7,2.94
2023-01,Gujarat,Gandhinagar,Airtel,1.08,31.71,99.48,75.9,0.96
2023-01,Gujarat,Gandhinagar,Vi,1.76,19.44,97.84,38.1,3.69
2023-01,Gujarat,Gandhinagar,BSNL,2.64,8.91,96.41,57.3,0.71
2023-01,Gujarat,Gandhinagar,MTNL,2.82,11.87,97.08,65.0,1.09
2023-01,Gujarat,Anand,Jio,1.05,26.12,98.91,39.4,2.7
2023-01,Gujarat,Anand,Airtel,0.96,33.42,99.37,36.4,4.99
2023-01,Gujarat,Anand,Vi,1.46,18.26,97.9,67.7,3.62
2023-01,Gujarat,Anand,BSNL,2.73,6.41,96.61,59.3,1.73
2023-01,Gujarat,Anand,MTNL,2.87,7.76,96.76,76.6,2.39
2023-01,Gujarat,Bharuch,Jio,0.98,27.99,99.06,79.0,2.34
2023-01,Gujarat,Bharuch,Airtel,1.04,31.15,99.23,21.9,3.43
2023-01,Gujarat,Bharuch,Vi,1.42,20.32,98.08,78.1,1.33
2023-01,Gujarat,Bharuch,BSNL,3.12,9.88,96.66,70.7,3.92
2023-01,Gujarat,Bharuch,MTNL,2.68,7.66,96.52,75.3,3.27
2023-01,Rajasthan,Jaipur,Jio,1.08,28.41,98.97,27.5,3.59
2023-01,Rajasthan,Jaipur,Airtel,0.76,31.0,99.39,23.9,3.12
2023-01,Rajasthan,Jaipur,Vi,1.36,19.99,97.99,47.3,0.55
2023-01,Rajasthan,Jaipur,BSNL,2.64,7.96,96.49,56.0,1.81
2023-01,Rajasthan,Jaipur,MTNL,2.72,11.3,96.97,22.4,2.66
2023-01,Rajasthan,Jodhpur,Jio,0.66,27.21,99.49,28.5,2.74
2023-01,Rajasthan,Jodhpur,Airtel,0.87,33.51,99.44,20.6,1.97
2023-01,Rajasthan,Jodhpur,Vi,1.51,16.44,98.01,22.0,0.85
2023-01,Rajasthan,Jodhpur,BSNL,2.84,6.66,96.54,61.4,4.1
2023-01,Rajasthan,Jodhpur,MTNL,2.42,7.84,96.56,58.2,3.68
2023-01,Rajasthan,Udaipur,Jio,0.62,30.68,98.93,52.5,3.69
2023-01,Rajasthan,Udaipur,Airtel,1.02,33.57,99.58,40.4,4.17
2023-01,Rajasthan,Udaipur,Vi,1.25,20.47,98.13,69.0,2.54
2023-01,Rajasthan,Udaipur,BSNL,2.99,8.63,96.64,24.9,0.77
2023-01,Rajasthan,Udaipur,MTNL,2.45,7.8,97.02,33.2,4.89
2023-01,Rajasthan,Kota,Jio,0.8,26.91,99.37,59.5,2.74
2023-01,Rajasthan,Kota,Airtel,0.83,33.6,99.24,79.8,4.89
2023-01,Rajasthan,Kota,Vi,1.59,17.0,98.21,24.3,0.64
2023-01,Rajasthan,Kota,BSNL,2.75,8.31,96.72,63.6,3.84
2023-01,Rajasthan,Kota,MTNL,2.56,8.73,96.72,79.3,0.68
2023-01,Rajasthan,Bikaner,Jio,1.12,28.89,99.16,63.5,2.69
2023-01,Rajasthan,Bikaner,Airtel,1.02,34.5,99.35,36.6,3.17
2023-01,Rajasthan,Bikaner,Vi,1.75,17.05,98.17,57.9,3.8
2023-01,Rajasthan,Bikaner,BSNL,2.68,9.58,96.75,30.8,1.57
2023-01,Rajasthan,Bikaner,MTNL,2.88,7.9,97.01,49.5,1.61
2023-01,Rajasthan,Ajmer,Jio,1.12,28.23,99.21,41.6,3.17
2023-01,Rajasthan,Ajmer,Airtel,0.6,31.96,99.68,35.5,3.46
2023-01,Rajasthan,Ajmer,Vi,1.4,19.87,97.88,78.2,2.54
2023-01,Rajasthan,Ajmer,BSNL,2.74,6.37,96.3,51.2,2.02
2023-01,Rajasthan,Ajmer,MTNL,2.8,9.15,96.65,57.0,3.68
2023-01,Rajasthan,Bhilwara,Jio,0.7,26.84,98.92,64.2,3.49
2023-01,Rajasthan,Bhilwara,Airtel,0.78,34.22,99.58,55.1,4.41
2023-01,Rajasthan,Bhilwara,Vi,1.32,16.56,97.96,23.4,2.89
2023-01,Rajasthan,Bhilwara,BSNL,3.16,6.2,96.27,47.1,4.7
2023-01,Rajasthan,Bhilwara,MTNL,2.49,9.54,96.52,28.9,4.94
2023-01,Rajasthan,Alwar,Jio,1.18,26.02,99.47,58.3,4.41
2023-01,Rajasthan,Alwar,Airtel,0.77,32.58,99.39,60.0,1.13
2023-01,Rajasthan,Alwar,Vi,1.22,17.54,98.22,32.1,3.53
2023-01,Rajasthan,Alwar,BSNL,3.18,6.47,96.6,46.6,4.41
2023-01,Rajasthan,Alwar,MTNL,2.41,10.46,97.0,76.7,3.57
2023-01,Rajasthan,Sikar,Jio,0.9,29.09,99.42,54.2,0.64
2023-01,Rajasthan,Sikar,Airtel,1.06,33.45,99.51,32.9,3.46
2023-01,Rajasthan,Sikar,Vi,1.44,19.26,97.86,59.5,5.0
2023-01,Rajasthan,Sikar,BSNL,2.63,10.89,96.44,72.2,4.02
2023-01,Rajasthan,Sikar,MTNL,2.64,10.69,97.03,44.2,1.97
2023-01,Rajasthan,Pali,Jio,1.0,30.04,99.36,67.9,2.46
2023-01,Rajasthan,Pali,Airtel,0.99,30.6,99.43,20.3,1.96
2023-01,Rajasthan,Pali,Vi,1.42,17.98,98.22,43.3,2.52
2023-01,Rajasthan,Pali,BSNL,2.74,7.87,96.34,24.4,3.22
2023-01,Rajasthan,Pali,MTNL,2.7,10.1,96.78,42.8,4.39
2023-01,West Bengal,Kolkata,Jio,0.91,28.4,98.92,40.5,2.21
2023-01,West Bengal,Kolkata,Airtel,0.74,32.9,99.42,56.5,3.94
2023-01,West Bengal,Kolkata,Vi,1.69,19.59,98.37,21.1,1.38
2023-01,West Bengal,Kolkata,BSNL,2.6,9.24,96.74,34.6,4.67
2023-01,West Bengal,Kolkata,MTNL,2.34,11.67,96.71,26.1,2.69
2023-01,West Bengal,Howrah,Jio,0.75,27.42,99.08,68.2,2.93
2023-01,West Bengal,Howrah,Airtel,0.69,33.05,99.53,36.4,2.36
2023-01,West Bengal,Howrah,Vi,1.27,16.91,98.21,30.9,2.86
2023-01,West Bengal,Howrah,BSNL,3.03,6.53,96.54,35.4,4.83
2023-01,West Bengal,Howrah,MTNL,2.59,11.03,96.83,22.6,3.35
2023-01,West Bengal,Durgapur,Jio,1.17,29.01,99.39,73.1,1.53
2023-01,West Bengal,Durgapur,Airtel,0.63,33.05,99.35,70.4,4.55
2023-01,West Bengal,Durgapur,Vi,1.41,17.18,98.27,36.5,4.2
2023-01,West Bengal,Durgapur,BSNL,2.85,9.34,96.26,57.4,2.53
2023-01,West Bengal,Durgapur,MTNL,2.65,7.84,96.94,71.8,1.48
2023-01,West Bengal,Asansol,Jio,0.66,26.12,99.29,56.4,2.96
2023-01,West Bengal,Asansol,Airtel,0.64,31.95,99.46,49.8,4.95
2023-01,West Bengal,Asansol,Vi,1.28,19.48,98.04,45.7,3.73
2023-01,West Bengal,Asansol,BSNL,3.02,10.96,96.28,26.2,3.76
2023-01,West Bengal,Asansol,MTNL,2.65,8.37,96.55,25.1,4.52
2023-01,West Bengal,Siliguri,Jio,0.72,27.62,99.04,41.3,0.81
2023-01,West Bengal,Siliguri,Airtel,0.81,30.34,99.58,34.0,2.93
2023-01,West Bengal,Siliguri,Vi,1.73,19.25,98.12,39.5,2.0
