month,state,city,operator,wireless_subs,wireline_subs,market_share_perc,mom_growth_perc
2023-01,Maharashtra,Solapur,Vi,233683,2714,18.03,2.07
2023-01,Maharashtra,Solapur,BSNL,149697,2160,11.55,0.36
2023-01,Maharashtra,Solapur,MTNL,82430,1489,6.36,3.32
2023-01,Maharashtra,Amravati,Jio,1604761,30734,34.68,-1.9
2023-01,Maharashtra,Amravati,Airtel,1430773,30890,30.92,-1.45
2023-01,Maharashtra,Amravati,Vi,790349,37294,17.08,2.7
2023-01,Maharashtra,Amravati,BSNL,537696,19000,11.62,3.16
2023-01,Maharashtra,Amravati,MTNL,264221,11136,5.71,-1.29
2023-01,Maharashtra,Kolhapur,Jio,2410514,86555,35.02,-2.4
2023-01,Maharashtra,Kolhapur,Airtel,2018169,48643,29.32,-0.52
2023-01,Maharashtra,Kolhapur,Vi,1228660,20378,17.85,0.92
2023-01,Maharashtra,Kolhapur,BSNL,924420,27171,13.43,2.0
2023-01,Maharashtra,Kolhapur,MTNL,301486,6263,4.38,-0.91
2023-01,Maharashtra,Thane,Jio,315978,6342,34.02,0.83
2023-01,Maharashtra,Thane,Airtel,275853,6078,29.7,-0.65
2023-01,Maharashtra,Thane,Vi,158546,1819,17.07,1.41
2023-01,Maharashtra,Thane,BSNL,120929,3640,13.02,-2.17
2023-01,Maharashtra,Thane,MTNL,57585,1217,6.2,3.4
2023-01,Maharashtra,Navi Mumbai,Jio,805680,15715,34.3,2.33
2023-01,Maharashtra,Navi Mumbai,Airtel,724642,17906,30.85,1.61
2023-01,Maharashtra,Navi Mumbai,Vi,396967,14029,16.9,0.93
2023-01,Maharashtra,Navi Mumbai,BSNL,288447,3926,12.28,2.93
2023-01,Maharashtra,Navi Mumbai,MTNL,133183,3040,5.67,-1.29
2023-01,Karnataka,Bengaluru,Jio,220519,3053,34.57,3.71
2023-01,Karnataka,Bengaluru,Airtel,186456,4829,29.23,0.87
2023-01,Karnataka,Bengaluru,Vi,119158,5184,18.68,1.84
2023-01,Karnataka,Bengaluru,BSNL,82671,3257,12.96,-1.14
2023-01,Karnataka,Bengaluru,MTNL,29087,920,4.56,2.02
2023-01,Karnataka,Mysuru,Jio,489732,22473,36.24,3.45
2023-01,Karnataka,Mysuru,Airtel,410947,14516,30.41,-0.3
2023-01,Karnataka,Mysuru,Vi,246352,5904,18.23,2.17
2023-01,Karnataka,Mysuru,BSNL,152838,7012,11.31,3.27
2023-01,Karnataka,Mysuru,MTNL,51486,2120,3.81,1.67
2023-01,Karnataka,Hubli,Jio,163318,7993,34.97,-0.55
2023-01,Karnataka,Hubli,Airtel,138939,3086,29.75,0.66
2023-01,Karnataka,Hubli,Vi,83083,2321,17.79,3.91
2023-01,Karnataka,Hubli,BSNL,52913,901,11.33,-2.38
2023-01,Karnataka,Hubli,MTNL,28768,856,6.16,-1.34
2023-01,Karnataka,Mangaluru,Jio,332542,6853,36.01,-0.81
2023-01,Karnataka,Mangaluru,Airtel,281105,13751,30.44,0.06
2023-01,Karnataka,Mangaluru,Vi,167887,7669,18.18,1.55
2023-01,Karnataka,Mangaluru,BSNL,99458,4156,10.77,0.77
2023-01,Karnataka,Mangaluru,MTNL,42479,1405,4.6,0.7
2023-01,Karnataka,Belagavi,Jio,660938,19033,34.61,-0.58
2023-01,Karnataka,Belagavi,Airtel,570610,25871,29.88,2.36
2023-01,Karnataka,Belagavi,Vi,355008,17084,18.59,-0.4
2023-01,Karnataka,Belagavi,BSNL,200706,6444,10.51,1.22
2023-01,Karnataka,Belagavi,MTNL,122410,6024,6.41,-2.01
2023-01,Karnataka,Kalaburagi,Jio,355061,16759,34.44,-1.94
2023-01,Karnataka,Kalaburagi,Airtel,310112,5692,30.08,1.86
2023-01,Karnataka,Kalaburagi,Vi,182376,4440,17.69,-0.9
2023-01,Karnataka,Kalaburagi,BSNL,120931,2637,11.73,-0.4
2023-01,Karnataka,Kalaburagi,MTNL,62476,2745,6.06,-1.61
2023-01,Karnataka,Davanagere,Jio,630293,19194,33.19,0.86
2023-01,Karnataka,Davanagere,Airtel,567054,23777,29.86,1.72
2023-01,Karnataka,Davanagere,Vi,347145,13218,18.28,2.62
2023-01,Karnataka,Davanagere,BSNL,240229,10954,12.65,-0.3
2023-01,Karnataka,Davanagere,MTNL,114322,2860,6.02,-1.89
2023-01,Karnataka,Ballari,Jio,1151339,23038,33.81,-2.15
2023-01,Karnataka,Ballari,Airtel,967111,21402,28.4,0.99
2023-01,Karnataka,Ballari,Vi,649395,14978,19.07,2.83
2023-01,Karnataka,Ballari,BSNL,434519,9064,12.76,3.77
2023-01,Karnataka,Ballari,MTNL,202957,5741,5.96,2.97
2023-01,Karnataka,Tumkur,Jio,549402,12591,34.2,2.77
2023-01,Karnataka,Tumkur,Airtel,475827,9913,29.62,0.35
2023-01,Karnataka,Tumkur,Vi,292211,3839,18.19,-2.39
2023-01,Karnataka,Tumkur,BSNL,210122,10192,13.08,2.93
2023-01,Karnataka,Tumkur,MTNL,79036,2990,4.92,0.16
2023-01,Karnataka,Udupi,Jio,491839,17475,35.47,0.96
2023-01,Karnataka,Udupi,Airtel,412662,14973,29.76,0.33
2023-01,Karnataka,Udupi,Vi,236975,9289,17.09,-2.24
2023-01,Karnataka,Udupi,BSNL,155996,5091,11.25,-1.47
2023-01,Karnataka,Udupi,MTNL,89021,1318,6.42,-0.28
2023-01,Tamil Nadu,Chennai,Jio,483372,20435,34.7,-0.15
2023-01,Tamil Nadu,Chennai,Airtel,441303,12615,31.68,1.72
2023-01,Tamil Nadu,Chennai,Vi,239039,2849,17.16,3.62
2023-01,Tamil Nadu,Chennai,BSNL,148076,6732,10.63,-0.8
2023-01,Tamil Nadu,Chennai,MTNL,81212,861,5.83,3.57
2023-01,Tamil Nadu,Coimbatore,Jio,1354154,45270,36.5,3.71
2023-01,Tamil Nadu,Coimbatore,Airtel,1106696,36541,29.83,0.02
2023-01,Tamil Nadu,Coimbatore,Vi,638122,22801,17.2,0.43
2023-01,Tamil Nadu,Coimbatore,BSNL,474510,15101,12.79,3.62
2023-01,Tamil Nadu,Coimbatore,MTNL,136528,3473,3.68,3.75
2023-01,Tamil Nadu,Madurai,Jio,684626,8795,35.33,-0.33
2023-01,Tamil Nadu,Madurai,Airtel,585023,25621,30.19,-2.35
2023-01,Tamil Nadu,Madurai,Vi,336209,14315,17.35,-0.72
2023-01,Tamil Nadu,Madurai,BSNL,218971,3224,11.3,2.03
2023-01,Tamil Nadu,Madurai,MTNL,112780,3965,5.82,3.2
2023-01,Tamil Nadu,Tiruchirappalli,Jio,1476439,57973,35.78,-1.57
2023-01,Tamil Nadu,Tiruchirappalli,Airtel,1222663,24454,29.63,1.27
2023-01,Tamil Nadu,Tiruchirappalli,Vi,720475,32194,17.46,1.1
2023-01,Tamil Nadu,Tiruchirappalli,BSNL,495172,9677,12.0,1.92
2023-01,Tamil Nadu,Tiruchirappalli,MTNL,212098,8398,5.14,-0.95
2023-01,Tamil Nadu,Salem,Jio,669248,6982,34.56,3.48
2023-01,Tamil Nadu,Salem,Airtel,592176,8084,30.58,-0.42
2023-01,Tamil Nadu,Salem,Vi,333655,16016,17.23,3.63
2023-01,Tamil Nadu,Salem,BSNL,252129,8304,13.02,1.61
2023-01,Tamil Nadu,Salem,MTNL,89271,2494,4.61,-0.59
2023-01,Tamil Nadu,Tirunelveli,Jio,623639,30539,33.65,4.07
2023-01,Tamil Nadu,Tirunelveli,Airtel,572488,7004,30.89,2.29
2023-01,Tamil Nadu,Tirunelveli,Vi,344160,10956,18.57,2.04
2023-01,Tamil Nadu,Tirunelveli,BSNL,198119,9657,10.69,1.97
2023-01,Tamil Nadu,Tirunelveli,MTNL,114905,4995,6.2,3.13
2023-01,Tamil Nadu,Tiruppur,Jio,1841291,24661,35.73,4.01
2023-01,Tamil Nadu,Tiruppur,Airtel,1485194,37086,28.82,-0.09
2023-01,Tamil Nadu,Tiruppur,Vi,980682,41690,19.03,3.61
2023-01,Tamil Nadu,Tiruppur,BSNL,652413,32255,12.66,2.4
2023-01,Tamil Nadu,Tiruppur,MTNL,193765,4853,3.76,-1.96
2023-01,Tamil Nadu,Vellore,Jio,1719980,45077,36.19,1.31
2023-01,Tamil Nadu,Vellore,Airtel,1412484,55989,29.72,2.49
2023-01,Tamil Nadu,Vellore,Vi,844544,36240,17.77,2.29
2023-01,Tamil Nadu,Vellore,BSNL,569841,21221,11.99,-0.96
2023-01,Tamil Nadu,Vellore,MTNL,205789,5352,4.33,0.61
2023-01,Tamil Nadu,Erode,Jio,245826,11220,34.47,1.03
2023-01,Tamil Nadu,Erode,Airtel,225787,11225,31.66,-2.02
2023-01,Tamil Nadu,Erode,Vi,118955,3824,16.68,3.75
2023-01,Tamil Nadu,Erode,BSNL,96490,2983,13.53,1.59
2023-01,Tamil Nadu,Erode,MTNL,26101,987,3.66,0.45
2023-01,Tamil Nadu,Thoothukudi,Jio,1507134,38855,34.09,-1.71
2023-01,Tamil Nadu,Thoothukudi,Airtel,1335597,31288,30.21,-1.4
2023-01,Tamil Nadu,Thoothukudi,Vi,836904,30023,18.93,-0.03
2023-01,Tamil Nadu,Thoothukudi,BSNL,581809,11156,13.16,-0.77
2023-01,Tamil Nadu,Thoothukudi,MTNL,159599,3896,3.61,-0.81
2023-01,Uttar Pradesh,Lucknow,Jio,915161,42497,35.1,2.95
2023-01,Uttar Pradesh,Lucknow,Airtel,767067,36813,29.42,2.22
2023-01,Uttar Pradesh,Lucknow,Vi,493822,17054,18.94,0.17
2023-01,Uttar Pradesh,Lucknow,BSNL,327215,15480,12.55,3.13
2023-01,Uttar Pradesh,Lucknow,MTNL,104031,1228,3.99,-2.33
2023-01,Uttar Pradesh,Kanpur,Jio,483754,20882,34.44,1.3
2023-01,Uttar Pradesh,Kanpur,Airtel,435435,5460,31.0,-2.26
2023-01,Uttar Pradesh,Kanpur,Vi,244124,3748,17.38,-2.46
2023-01,Uttar Pradesh,Kanpur,BSNL,176561,2297,12.57,2.0
2023-01,Uttar Pradesh,Kanpur,MTNL,64753,2031,4.61,2.37
2023-01,Uttar Pradesh,Agra,Jio,2143821,32513,35.01,3.8
2023-01,Uttar Pradesh,Agra,Airtel,1875613,64234,30.63,-1.01
2023-01,Uttar Pradesh,Agra,Vi,1140187,42036,18.62,1.47
2023-01,Uttar Pradesh,Agra,BSNL,672967,16370,10.99,-1.76
2023-01,Uttar Pradesh,Agra,MTNL,290251,10699,4.74,0.88
2023-01,Uttar Pradesh,Varanasi,Jio,1573779,52876,33.94,0.72
2023-01,Uttar Pradesh,Varanasi,Airtel,1415195,37957,30.52,2.6
2023-01,Uttar Pradesh,Varanasi,Vi,887047,31556,19.13,2.68
2023-01,Uttar Pradesh,Varanasi,BSNL,491979,22693,10.61,1.51
2023-01,Uttar Pradesh,Varanasi,MTNL,268479,13214,5.79,1.45
2023-01,Uttar Pradesh,Prayagraj,Jio,1310674,33896,34.31,1.64
2023-01,Uttar Pradesh,Prayagraj,Airtel,1175060,52283,30.76,3.67
2023-01,Uttar Pradesh,Prayagraj,Vi,660494,10490,17.29,3.47
2023-01,Uttar Pradesh,Prayagraj,BSNL,453445,13460,11.87,-0.82
2023-01,Uttar Pradesh,Prayagraj,MTNL,220419,6252,5.77,3.87
2023-01,Uttar Pradesh,Meerut,Jio,1169491,39050,34.51,0.2
2023-01,Uttar Pradesh,Meerut,Airtel,1036310,39283,30.58,-1.33
2023-01,Uttar Pradesh,Meerut,Vi,600504,22735,17.72,0.13
2023-01,Uttar Pradesh,Meerut,BSNL,415134,18669,12.25,0.85
2023-01,Uttar Pradesh,Meerut,MTNL,167409,8190,4.94,1.41
2023-01,Uttar Pradesh,Ghaziabad,Jio,416726,11847,35.8,-1.06
2023-01,Uttar Pradesh,Ghaziabad,Airtel,359455,8832,30.88,0.77
2023-01,Uttar Pradesh,Ghaziabad,Vi,208712,7850,17.93,-2.29
2023-01,Uttar Pradesh,Ghaziabad,BSNL,131885,5536,11.33,1.58
2023-01,Uttar Pradesh,Ghaziabad,MTNL,47376,628,4.07,3.18
2023-01,Uttar Pradesh,Noida,Jio,1076534,33871,33.47,3.61
2023-01,Uttar Pradesh,Noida,Airtel,999340,19431,31.07,2.44
2023-01,Uttar Pradesh,Noida,Vi,538106,16816,16.73,2.13
2023-01,Uttar Pradesh,Noida,BSNL,394975,4934,12.28,-1.54
2023-01,Uttar Pradesh,Noida,MTNL,207458,3179,6.45,1.97
2023-01,Uttar Pradesh,Bareilly,Jio,1499484,31143,35.78,0.05
2023-01,Uttar Pradesh,Bareilly,Airtel,1231270,13301,29.38,-0.41
2023-01,Uttar Pradesh,Bareilly,Vi,762314,14070,18.19,-0.42
2023-01,Uttar Pradesh,Bareilly,BSNL,516731,7642,12.33,3.29
2023-01,Uttar Pradesh,Bareilly,MTNL,180625,6094,4.31,1.91
2023-01,Uttar Pradesh,Moradabad,Jio,1263463,19082,33.87,-0.56
2023-01,Uttar Pradesh,Moradabad,Airtel,1126933,27636,30.21,1.7
2023-01,Uttar Pradesh,Moradabad,Vi,683397,22436,18.32,-0.24
2023-01,Uttar Pradesh,Moradabad,BSNL,476736,23579,12.78,1.44
2023-01,Uttar Pradesh,Moradabad,MTNL,179429,3496,4.81,-1.84
2023-01,Gujarat,Ahmedabad,Jio,188928,2495,34.82,1.01
2023-01,Gujarat,Ahmedabad,Airtel,161527,4266,29.77,3.89
2023-01,Gujarat,Ahmedabad,Vi,96471,1397,17.78,0.04
2023-01,Gujarat,Ahmedabad,BSNL,61257,2988,11.29,3.13
2023-01,Gujarat,Ahmedabad,MTNL,34399,1468,6.34,-0.82
2023-01,Gujarat,Surat,Jio,447638,8148,35.03,3.89
2023-01,Gujarat,Surat,Airtel,381572,14666,29.86,-1.2
2023-01,Gujarat,Surat,Vi,225288,8887,17.63,0.89
2023-01,Gujarat,Surat,BSNL,148488,5685,11.62,2.49
2023-01,Gujarat,Surat,MTNL,74883,1010,5.86,0.79
2023-01,Gujarat,Vadodara,Jio,1730782,85844,36.61,-0.3
2023-01,Gujarat,Vadodara,Airtel,1413085,59907,29.89,-0.84
2023-01,Gujarat,Vadodara,Vi,863736,32182,18.27,2.39
2023-01,Gujarat,Vadodara,BSNL,537530,18182,11.37,0.57
2023-01,Gujarat,Vadodara,MTNL,182013,4818,3.85,-0.23
2023-01,Gujarat,Rajkot,Jio,625726,15748,34.92,3.62
2023-01,Gujarat,Rajkot,Airtel,520363,20223,29.04,-2.19
2023-01,Gujarat,Rajkot,Vi,337949,13943,18.86,2.83
2023-01,Gujarat,Rajkot,BSNL,235812,9437,13.16,2.7
2023-01,Gujarat,Rajkot,MTNL,72033,3097,4.02,-1.29
2023-01,Gujarat,Bhavnagar,Jio,396212,15274,35.74,3.45
2023-01,Gujarat,Bhavnagar,Airtel,322157,11263,29.06,1.01
2023-01,Gujarat,Bhavnagar,Vi,199768,5503,18.02,1.2
2023-01,Gujarat,Bhavnagar,BSNL,137244,3323,12.38,0.04
2023-01,Gujarat,Bhavnagar,MTNL,53101,1660,4.79,-2.07
2023-01,Gujarat,Jamnagar,Jio,518912,23426,34.95,0.82
2023-01,Gujarat,Jamnagar,Airtel,439924,17446,29.63,1.23
2023-01,Gujarat,Jamnagar,Vi,278683,13908,18.77,2.34
2023-01,Gujarat,Jamnagar,BSNL,187669,7183,12.64,2.56
2023-01,Gujarat,Jamnagar,MTNL,59686,938,4.02,-1.17
2023-01,Gujarat,Junagadh,Jio,1391410,21009,35.6,0.18
2023-01,Gujarat,Junagadh,Airtel,1136970,47629,29.09,-1.53
2023-01,Gujarat,Junagadh,Vi,730490,14003,18.69,2.14
2023-01,Gujarat,Junagadh,BSNL,417032,16181,10.67,1.67
2023-01,Gujarat,Junagadh,MTNL,232553,8780,5.95,1.03
2023-01,Gujarat,Gandhinagar,Jio,425155,20361,34.01,-1.4
2023-01,Gujarat,Gandhinagar,Airtel,389903,13041,31.19,0.79
2023-01,Gujarat,Gandhinagar,Vi,227891,7852,18.23,-2.43
2023-01,Gujarat,Gandhinagar,BSNL,146135,6559,11.69,3.56
2023-01,Gujarat,Gandhinagar,MTNL,61004,1989,4.88,2.03
2023-01,Gujarat,Anand,Jio,1228072,17401,36.06,3.06
2023-01,Gujarat,Anand,Airtel,1067326,49553,31.34,-1.7
2023-01,Gujarat,Anand,Vi,610289,11861,17.92,-1.47
2023-01,Gujarat,Anand,BSNL,370873,6472,10.89,2.94
2023-01,Gujarat,Anand,MTNL,129414,3013,3.8,-0.48
2023-01,Gujarat,Bharuch,Jio,312430,4552,34.41,0.29
2023-01,Gujarat,Bharuch,Airtel,277201,12346,30.53,3.5
2023-01,Gujarat,Bharuch,Vi,154353,4418,17.0,0.58
2023-01,Gujarat,Bharuch,BSNL,116037,5423,12.78,1.32
2023-01,Gujarat,Bharuch,MTNL,47940,542,5.28,3.43
2023-01,Rajasthan,Jaipur,Jio,859458,16161,34.97,-1.02
2023-01,Rajasthan,Jaipur,Airtel,723055,22130,29.42,3.84
2023-01,Rajasthan,Jaipur,Vi,440911,12504,17.94,1.07
2023-01,Rajasthan,Jaipur,BSNL,324662,14423,13.21,0.98
2023-01,Rajasthan,Jaipur,MTNL,109613,1904,4.46,-0.55
2023-01,Rajasthan,Jodhpur,Jio,1034200,11853,36.02,0.67
2023-01,Rajasthan,Jodhpur,Airtel,842692,27466,29.35,-2.07
2023-01,Rajasthan,Jodhpur,Vi,555286,22778,19.34,0.4
2023-01,Rajasthan,Jodhpur,BSNL,321572,9960,11.2,0.36
2023-01,Rajasthan,Jodhpur,MTNL,117718,3064,4.1,1.14
2023-01,Rajasthan,Udaipur,Jio,661370,20544,34.68,2.8
2023-01,Rajasthan,Udaipur,Airtel,550569,27064,28.87,2.96
2023-01,Rajasthan,Udaipur,Vi,359481,16061,18.85,0.1
2023-01,Rajasthan,Udaipur,BSNL,216833,6953,11.37,-0.85
2023-01,Rajasthan,Udaipur,MTNL,118619,2116,6.22,0.79
2023-01,Rajasthan,Kota,Jio,697765,34573,34.14,1.52
2023-01,Rajasthan,Kota,Airtel,617647,26110,30.22,3.76
2023-01,Rajasthan,Kota,Vi,360123,17205,17.62,-1.63
2023-01,Rajasthan,Kota,BSNL,250983,6589,12.28,-0.39
2023-01,Rajasthan,Kota,MTNL,117316,1581,5.74,1.62
2023-01,Rajasthan,Bikaner,Jio,963130,33700,33.12,-0.22
2023-01,Rajasthan,Bikaner,Airtel,885195,38067,30.44,-0.14
2023-01,Rajasthan,Bikaner,Vi,524021,5957,18.02,2.85
2023-01,Rajasthan,Bikaner,BSNL,358556,8536,12.33,2.53
2023-01,Rajasthan,Bikaner,MTNL,177097,4340,6.09,3.1
2023-01,Rajasthan,Ajmer,Jio,785958,23970,35.0,2.42
2023-01,Rajasthan,Ajmer,Airtel,702422,26659,31.28,0.12
2023-01,Rajasthan,Ajmer,Vi,399940,7487,17.81,1.64
2023-01,Rajasthan,Ajmer,BSNL,246566,6624,10.98,-1.64
2023-01,Rajasthan,Ajmer,MTNL,110707,5095,4.93,1.99
2023-01,Rajasthan,Bhilwara,Jio,1550363,55901,36.31,2.99
2023-01,Rajasthan,Bhilwara,Airtel,1234398,22536,28.91,-2.43
2023-01,Rajasthan,Bhilwara,Vi,779665,12065,18.26,3.3
2023-01,Rajasthan,Bhilwara,BSNL,484195,21767,11.34,1.38
2023-01,Rajasthan,Bhilwara,MTNL,220748,7509,5.17,1.82
2023-01,Rajasthan,Alwar,Jio,585454,23137,35.79,-1.86
2023-01,Rajasthan,Alwar,Airtel,499410,17042,30.53,-0.91
2023-01,Rajasthan,Alwar,Vi,304259,7780,18.6,-0.67
2023-01,Rajasthan,Alwar,BSNL,179284,4343,10.96,2.17
2023-01,Rajasthan,Alwar,MTNL,67395,1474,4.12,1.18
2023-01,Rajasthan,Sikar,Jio,608947,10035,36.49,3.07
2023-01,Rajasthan,Sikar,Airtel,484120,21231,29.01,3.71
2023-01,Rajasthan,Sikar,Vi,300551,4864,18.01,1.5
2023-01,Rajasthan,Sikar,BSNL,189409,5487,11.35,-0.26
2023-01,Rajasthan,Sikar,MTNL,85776,2063,5.14,0.18
2023-01,Rajasthan,Pali,Jio,887691,18540,34.3,1.44
2023-01,Rajasthan,Pali,Airtel,745608,18221,28.81,-1.9
2023-01,Rajasthan,Pali,Vi,483442,22573,18.68,-1.66
2023-01,Rajasthan,Pali,BSNL,328937,15792,12.71,0.4
2023-01,Rajasthan,Pali,MTNL,142341,2477,5.5,1.02
2023-01,West Bengal,Kolkata,Jio,1947636,89853,34.15,1.8
2023-01,West Bengal,Kolkata,Airtel,1692134,63839,29.67,-2.16
2023-01,West Bengal,Kolkata,Vi,1026572,37774,18.0,-2.26
2023-01,West Bengal,Kolkata,BSNL,682671,22890,11.97,4.0
2023-01,West Bengal,Kolkata,MTNL,354167,11415,6.21,0.58
2023-01,West Bengal,Howrah,Jio,730402,29071,35.96,-2.04
2023-01,West Bengal,Howrah,Airtel,594925,16780,29.29,0.9
2023-01,West Bengal,Howrah,Vi,344686,12333,16.97,1.68
2023-01,West Bengal,Howrah,BSNL,240691,5918,11.85,1.14
2023-01,West Bengal,Howrah,MTNL,120447,3522,5.93,3.25
2023-01,West Bengal,Durgapur,Jio,825402,18777,35.74,1.67
2023-01,West Bengal,Durgapur,Airtel,663970,30170,28.75,1.5
2023-01,West Bengal,Durgapur,Vi,403694,7798,17.48,-2.39
2023-01,West Bengal,Durgapur,BSNL,280368,12561,12.14,-2.36
2023-01,West Bengal,Durgapur,MTNL,135796,6109,5.88,0.94
2023-01,West Bengal,Asansol,Jio,1708006,59951,35.96,3.28
2023-01,West Bengal,Asansol,Airtel,1383124,68275,29.12,2.49
2023-01,West Bengal,Asansol,Vi,880126,23508,18.53,0.19
2023-01,West Bengal,Asansol,BSNL,547645,21633,11.53,-0.95
2023-01,West Bengal,Asansol,MTNL,231312,3335,4.87,-0.19
2023-01,West Bengal,Siliguri,Jio,851312,21600,35.03,2.02
2023-01,West Bengal,Siliguri,Airtel,712546,13346,29.32,3.67
2023-01,West Bengal,Siliguri,Vi,412168,17085,16.96,-1.97
2023-01,West Bengal,Siliguri,BSNL,335129,8949,13.79,3.21
2023-01,West Bengal,Siliguri,MTNL,119081,5690,4.9,0.54
2023-01,West Bengal,Bardhaman,Jio,624642,27000,35.97,-1.62
2023-01,West Bengal,Bardhaman,Airtel,501693,5959,28.89,-0.0
2023-01,West Bengal,Bardhaman,Vi,309456,3549,17.82,3.67
2023-01,West Bengal,Bardhaman,BSNL,227490,9793,13.1,2.71
2023-01,West Bengal,Bardhaman,MTNL,73283,2578,4.22,-1.09
2023-01,West Bengal,Malda,Jio,789540,12755,35.93,2.9
2023-01,West Bengal,Malda,Airtel,628028,11918,28.58,-1.05
2023-01,West Bengal,Malda,Vi,382794,12049,17.42,1.3
2023-01,West Bengal,Malda,BSNL,276438,9178,12.58,-1.91
2023-01,West Bengal,Malda,MTNL,120859,5450,5.5,-0.77
2023-01,West Bengal,Baharampur,Jio,350999,13832,33.95,-0.57
2023-01,West Bengal,Baharampur,Airtel,324119,6516,31.35,-2.47
2023-01,West Bengal,Baharampur,Vi,173277,6554,16.76,-2.23
2023-01,West Bengal,Baharampur,BSNL,119825,3751,11.59,3.75
2023-01,West Bengal,Baharampur,MTNL,65650,943,6.35,3.31
2023-01,West Bengal,Habra,Jio,785049,24926,35.06,3.22
2023-01,West Bengal,Habra,Airtel,652490,25679,29.14,0.89
2023-01,West Bengal,Habra,Vi,417379,18667,18.64,-0.96
2023-01,West Bengal,Habra,BSNL,265116,4319,11.84,-1.46
2023-01,West Bengal,Habra,MTNL,119123,2782,5.32,-0.95
2023-01,West Bengal,Kharagpur,Jio,1961962,84428,35.55,-1.56
2023-01,West Bengal,Kharagpur,Airtel,1589989,37213,28.81,2.33
2023-01,West Bengal,Kharagpur,Vi,1050243,17255,19.03,2.77
2023-01,West Bengal,Kharagpur,BSNL,719662,31150,13.04,0.8
2023-01,West Bengal,Kharagpur,MTNL,197024,2020,3.57,-0.63
2023-01,Andhra Pradesh,Visakhapatnam,Jio,910101,13777,35.85,-0.56
2023-01,Andhra Pradesh,Visakhapatnam,Airtel,746105,8011,29.39,0.31
2023-01,Andhra Pradesh,Visakhapatnam,Vi,455939,19881,17.96,-0.0
2023-01,Andhra Pradesh,Visakhapatnam,BSNL,272395,4679,10.73,2.4
2023-01,Andhra Pradesh,Visakhapatnam,MTNL,154095,6402,6.07,-1.37
2023-01,Andhra Pradesh,Vijayawada,Jio,443193,15439,34.92,-2.1
2023-01,Andhra Pradesh,Vijayawada,Airtel,394584,17701,31.09,3.83
2023-01,Andhra Pradesh,Vijayawada,Vi,215123,10488,16.95,2.32
2023-01,Andhra Pradesh,Vijayawada,BSNL,157757,2398,12.43,2.43
2023-01,Andhra Pradesh,Vijayawada,MTNL,58508,642,4.61,-2.36
2023-01,Andhra Pradesh,Guntur,Jio,328600,9219,35.21,-1.34
2023-01,Andhra Pradesh,Guntur,Airtel,275777,11525,29.55,2.01
2023-01,Andhra Pradesh,Guntur,Vi,160053,3013,17.15,-2.01
2023-01,Andhra Pradesh,Guntur,BSNL,124683,4640,13.36,1.75
2023-01,Andhra Pradesh,Guntur,MTNL,44143,923,4.73,3.68
2023-01,Andhra Pradesh,Nellore,Jio,409652,11344,33.94,-0.37
2023-01,Andhra Pradesh,Nellore,Airtel,358355,8181,29.69,2.21
2023-01,Andhra Pradesh,Nellore,Vi,218827,8716,18.13,-1.25
2023-01,Andhra Pradesh,Nellore,BSNL,153770,6877,12.74,2.15
2023-01,Andhra Pradesh,Nellore,MTNL,66384,2158,5.5,0.56
2023-01,Andhra Pradesh,Kurnool,Jio,409544,16562,33.12,1.67
